age,nb_payements,maturity,interest_rate,amount,target
20,1,1,0,500,499.48949161452066
20,1,1,0,1000,998.9789832290413
20,1,1,0,2000,1997.9579664580826
20,1,1,0,4000,3995.9159329161653
20,1,1,0,8000,7991.831865832331
20,1,1,0.005,500,497.00446926817983
20,1,1,0.005,1000,994.0089385363597
20,1,1,0.005,2000,1988.0178770727193
20,1,1,0.005,4000,3976.0357541454387
20,1,1,0.005,8000,7952.071508290877
20,1,1,0.01,500,494.5440511034858
20,1,1,0.01,1000,989.0881022069716
20,1,1,0.01,2000,1978.1762044139432
20,1,1,0.01,4000,3956.3524088278864
20,1,1,0.01,8000,7912.704817655773
20,1,1,0.015,500,492.1078735118431
20,1,1,0.015,1000,984.2157470236862
20,1,1,0.015,2000,1968.4314940473723
20,1,1,0.015,4000,3936.8629880947447
20,1,1,0.015,8000,7873.725976189489
20,1,1,0.02,500,489.69558001423593
20,1,1,0.02,1000,979.3911600284719
20,1,1,0.02,2000,1958.7823200569437
20,1,1,0.02,4000,3917.5646401138874
20,1,1,0.02,8000,7835.129280227775
20,1,1,0.025,500,487.3068210873373
20,1,1,0.025,1000,974.6136421746746
20,1,1,0.025,2000,1949.2272843493492
20,1,1,0.025,4000,3898.4545686986985
20,1,1,0.025,8000,7796.909137397397
20,1,5,0,500,497.3969126879025
20,1,5,0,1000,994.793825375805
20,1,5,0,2000,1989.58765075161
20,1,5,0,4000,3979.17530150322
20,1,5,0,8000,7958.35060300644
20,1,5,0.005,500,485.1463591683544
20,1,5,0.005,1000,970.2927183367088
20,1,5,0.005,2000,1940.5854366734177
20,1,5,0.005,4000,3881.1708733468354
20,1,5,0.005,8000,7762.341746693671
20,1,5,0.01,500,473.25609554406907
20,1,5,0.01,1000,946.5121910881381
20,1,5,0.01,2000,1893.0243821762763
20,1,5,0.01,4000,3786.0487643525526
20,1,5,0.01,8000,7572.097528705105
20,1,5,0.015,500,461.7138200274329
20,1,5,0.015,1000,923.4276400548658
20,1,5,0.015,2000,1846.8552801097317
20,1,5,0.015,4000,3693.7105602194633
20,1,5,0.015,8000,7387.421120438927
20,1,5,0.02,500,450.5077085357139
20,1,5,0.02,1000,901.0154170714278
20,1,5,0.02,2000,1802.0308341428556
20,1,5,0.02,4000,3604.061668285711
20,1,5,0.02,8000,7208.123336571422
20,1,5,0.025,500,439.6263939229393
20,1,5,0.025,1000,879.2527878458786
20,1,5,0.025,2000,1758.5055756917573
20,1,5,0.025,4000,3517.0111513835145
20,1,5,0.025,8000,7034.022302767029
20,1,10,0,500,494.687680067933
20,1,10,0,1000,989.375360135866
20,1,10,0,2000,1978.750720271732
20,1,10,0,4000,3957.501440543464
20,1,10,0,8000,7915.002881086928
20,1,10,0.005,500,470.6201057203442
20,1,10,0.005,1000,941.2402114406884
20,1,10,0.005,2000,1882.4804228813769
20,1,10,0.005,4000,3764.9608457627537
20,1,10,0.005,8000,7529.921691525507
20,1,10,0.01,500,447.8343034128359
20,1,10,0.01,1000,895.6686068256718
20,1,10,0.01,2000,1791.3372136513435
20,1,10,0.01,4000,3582.674427302687
20,1,10,0.01,8000,7165.348854605374
20,1,10,0.015,500,426.25616385120543
20,1,10,0.015,1000,852.5123277024109
20,1,10,0.015,2000,1705.0246554048217
20,1,10,0.015,4000,3410.0493108096434
20,1,10,0.015,8000,6820.098621619287
20,1,10,0.02,500,405.8161973129135
20,1,10,0.02,1000,811.632394625827
20,1,10,0.02,2000,1623.264789251654
20,1,10,0.02,4000,3246.529578503308
20,1,10,0.02,8000,6493.059157006616
20,1,10,0.025,500,386.4492250224772
20,1,10,0.025,1000,772.8984500449544
20,1,10,0.025,2000,1545.7969000899088
20,1,10,0.025,4000,3091.5938001798177
20,1,10,0.025,8000,6183.187600359635
20,1,20,0,500,487.10081782432445
20,1,20,0,1000,974.2016356486489
20,1,20,0,2000,1948.4032712972978
20,1,20,0,4000,3896.8065425945956
20,1,20,0,8000,7793.613085189191
20,1,20,0.005,500,440.85688085074486
20,1,20,0.005,1000,881.7137617014897
20,1,20,0.005,2000,1763.4275234029794
20,1,20,0.005,4000,3526.855046805959
20,1,20,0.005,8000,7053.710093611918
20,1,20,0.01,500,399.20078174469944
20,1,20,0.01,1000,798.4015634893989
20,1,20,0.01,2000,1596.8031269787978
20,1,20,0.01,4000,3193.6062539575955
20,1,20,0.01,8000,6387.212507915191
20,1,20,0.015,500,361.65794792716775
20,1,20,0.015,1000,723.3158958543355
20,1,20,0.015,2000,1446.631791708671
20,1,20,0.015,4000,2893.263583417342
20,1,20,0.015,8000,5786.527166834684
20,1,20,0.02,500,327.80488672926066
20,1,20,0.02,1000,655.6097734585213
20,1,20,0.02,2000,1311.2195469170426
20,1,20,0.02,4000,2622.4390938340853
20,1,20,0.02,8000,5244.8781876681705
20,1,20,0.025,500,297.26347536095807
20,1,20,0.025,1000,594.5269507219161
20,1,20,0.025,2000,1189.0539014438323
20,1,20,0.025,4000,2378.1078028876645
20,1,20,0.025,8000,4756.215605775329
20,1,30,0,500,468.7376795624791
20,1,30,0,1000,937.4753591249582
20,1,30,0,2000,1874.9507182499165
20,1,30,0,4000,3749.901436499833
20,1,30,0,8000,7499.802872999666
20,1,30,0.005,500,403.5970777562952
20,1,30,0.005,1000,807.1941555125904
20,1,30,0.005,2000,1614.3883110251809
20,1,30,0.005,4000,3228.7766220503618
20,1,30,0.005,8000,6457.5532441007235
20,1,30,0.01,500,347.7672268977605
20,1,30,0.01,1000,695.534453795521
20,1,30,0.01,2000,1391.068907591042
20,1,30,0.01,4000,2782.137815182084
20,1,30,0.01,8000,5564.275630364168
20,1,30,0.015,500,299.88075686562155
20,1,30,0.015,1000,599.7615137312431
20,1,30,0.015,2000,1199.5230274624862
20,1,30,0.015,4000,2399.0460549249724
20,1,30,0.015,8000,4798.092109849945
20,1,30,0.02,500,258.7764274544388
20,1,30,0.02,1000,517.5528549088776
20,1,30,0.02,2000,1035.1057098177553
20,1,30,0.02,4000,2070.2114196355105
20,1,30,0.02,8000,4140.422839271021
20,1,30,0.025,500,223.467260000114
20,1,30,0.025,1000,446.934520000228
20,1,30,0.025,2000,893.869040000456
20,1,30,0.025,4000,1787.738080000912
20,1,30,0.025,8000,3575.476160001824
20,1,40,0,500,432.3551116547548
20,1,40,0,1000,864.7102233095096
20,1,40,0,2000,1729.4204466190192
20,1,40,0,4000,3458.8408932380385
20,1,40,0,8000,6917.681786476077
20,1,40,0.005,500,354.15887356987196
20,1,40,0.005,1000,708.3177471397439
20,1,40,0.005,2000,1416.6354942794878
20,1,40,0.005,4000,2833.2709885589757
20,1,40,0.005,8000,5666.541977117951
20,1,40,0.01,500,290.39266784527126
20,1,40,0.01,1000,580.7853356905425
20,1,40,0.01,2000,1161.570671381085
20,1,40,0.01,4000,2323.14134276217
20,1,40,0.01,8000,4646.28268552434
20,1,40,0.015,500,238.34108275229687
20,1,40,0.015,1000,476.68216550459374
20,1,40,0.015,2000,953.3643310091875
20,1,40,0.015,4000,1906.728662018375
20,1,40,0.015,8000,3813.45732403675
20,1,40,0.02,500,195.809486024781
20,1,40,0.02,1000,391.618972049562
20,1,40,0.02,2000,783.237944099124
20,1,40,0.02,4000,1566.475888198248
20,1,40,0.02,8000,3132.951776396496
20,1,40,0.025,500,161.02228389251505
20,1,40,0.025,1000,322.0445677850301
20,1,40,0.025,2000,644.0891355700602
20,1,40,0.025,4000,1288.1782711401204
20,1,40,0.025,8000,2576.356542280241
20,5,5,0,500,99.68637175887095
20,5,5,0,1000,199.3727435177419
20,5,5,0,2000,398.7454870354838
20,5,5,0,4000,797.4909740709676
20,5,5,0,8000,1594.9819481419352
20,5,5,0.005,500,98.2024385177441
20,5,5,0.005,1000,196.4048770354882
20,5,5,0.005,2000,392.8097540709764
20,5,5,0.005,4000,785.6195081419528
20,5,5,0.005,8000,1571.2390162839056
20,5,5,0.01,500,96.74301882213521
20,5,5,0.01,1000,193.48603764427043
20,5,5,0.01,2000,386.97207528854085
20,5,5,0.01,4000,773.9441505770817
20,5,5,0.01,8000,1547.8883011541634
20,5,5,0.015,500,95.30767589563789
20,5,5,0.015,1000,190.61535179127577
20,5,5,0.015,2000,381.23070358255154
20,5,5,0.015,4000,762.4614071651031
20,5,5,0.015,8000,1524.9228143302062
20,5,5,0.02,500,93.89598129457912
20,5,5,0.02,1000,187.79196258915823
20,5,5,0.02,2000,375.58392517831646
20,5,5,0.02,4000,751.1678503566329
20,5,5,0.02,8000,1502.3357007132659
20,5,5,0.025,500,92.50751473238182
20,5,5,0.025,1000,185.01502946476364
20,5,5,0.025,2000,370.0300589295273
20,5,5,0.025,4000,740.0601178590546
20,5,5,0.025,8000,1480.1202357181091
20,5,10,0,500,99.14339780136068
20,5,10,0,1000,198.28679560272136
20,5,10,0,2000,396.5735912054427
20,5,10,0,4000,793.1471824108854
20,5,10,0,8000,1586.2943648217708
20,5,10,0.005,500,95.26206086847813
20,5,10,0.005,1000,190.52412173695626
20,5,10,0.005,2000,381.0482434739125
20,5,10,0.005,4000,762.096486947825
20,5,10,0.005,8000,1524.19297389565
20,5,10,0.01,500,91.54629565723454
20,5,10,0.01,1000,183.09259131446908
20,5,10,0.01,2000,366.18518262893815
20,5,10,0.01,4000,732.3703652578763
20,5,10,0.01,8000,1464.7407305157526
20,5,10,0.015,500,87.98845204684328
20,5,10,0.015,1000,175.97690409368656
20,5,10,0.015,2000,351.9538081873731
20,5,10,0.015,4000,703.9076163747462
20,5,10,0.015,8000,1407.8152327494925
20,5,10,0.02,500,84.58126098614764
20,5,10,0.02,1000,169.16252197229528
20,5,10,0.02,2000,338.32504394459056
20,5,10,0.02,4000,676.6500878891811
20,5,10,0.02,8000,1353.3001757783622
20,5,10,0.025,500,81.31781410592639
20,5,10,0.025,1000,162.63562821185278
20,5,10,0.025,2000,325.27125642370555
20,5,10,0.025,4000,650.5425128474111
20,5,10,0.025,8000,1301.0850256948222
20,5,20,0,500,97.62286811810898
20,5,20,0,1000,195.24573623621797
20,5,20,0,2000,390.49147247243593
20,5,20,0,4000,780.9829449448719
20,5,20,0,8000,1561.9658898897437
20,5,20,0.005,500,89.2374433378901
20,5,20,0.005,1000,178.4748866757802
20,5,20,0.005,2000,356.9497733515604
20,5,20,0.005,4000,713.8995467031208
20,5,20,0.005,8000,1427.7990934062416
20,5,20,0.01,500,81.6046303592561
20,5,20,0.01,1000,163.2092607185122
20,5,20,0.01,2000,326.4185214370244
20,5,20,0.01,4000,652.8370428740488
