age,nb_payements,maturity,interest_rate,amount,target
20,1,1,0,500,0.5105083854793219
20,1,1,0,1000,1.0210167709586437
20,1,1,0,2000,2.0420335419172875
20,1,1,0,4000,4.084067083834575
20,1,1,0,8000,8.16813416766915
20,1,1,0.005,500,0.5079685427654944
20,1,1,0.005,1000,1.0159370855309888
20,1,1,0.005,2000,2.0318741710619777
20,1,1,0.005,4000,4.063748342123955
20,1,1,0.005,8000,8.12749668424791
20,1,1,0.01,500,0.5054538470092296
20,1,1,0.01,1000,1.0109076940184591
20,1,1,0.01,2000,2.0218153880369183
20,1,1,0.01,4000,4.043630776073837
20,1,1,0.01,8000,8.087261552147673
20,1,1,0.015,500,0.5029639265806127
20,1,1,0.015,1000,1.0059278531612255
20,1,1,0.015,2000,2.011855706322451
20,1,1,0.015,4000,4.023711412644902
20,1,1,0.015,8000,8.047422825289804
20,1,1,0.02,500,0.50049841713659
20,1,1,0.02,1000,1.00099683427318
20,1,1,0.02,2000,2.00199366854636
20,1,1,0.02,4000,4.00398733709272
20,1,1,0.02,8000,8.00797467418544
20,1,1,0.025,500,0.49805696144324085
20,1,1,0.025,1000,0.9961139228864817
20,1,1,0.025,2000,1.9922278457729634
20,1,1,0.025,4000,3.984455691545927
20,1,1,0.025,8000,7.968911383091854
20,1,5,0,500,2.603087312097532
20,1,5,0,1000,5.206174624195064
20,1,5,0,2000,10.412349248390129
20,1,5,0,4000,20.824698496780258
20,1,5,0,8000,41.649396993560515
20,1,5,0.005,500,2.5644170868943696
20,1,5,0.005,1000,5.128834173788739
20,1,5,0.005,2000,10.257668347577479
20,1,5,0.005,4000,20.515336695154957
20,1,5,0.005,8000,41.030673390309914
20,1,5,0.01,500,2.5266328981107145
20,1,5,0.01,1000,5.053265796221429
20,1,5,0.01,2000,10.106531592442858
20,1,5,0.01,4000,20.213063184885716
20,1,5,0.01,8000,40.42612636977143
20,1,5,0.015,500,2.489708795944462
20,1,5,0.015,1000,4.979417591888924
20,1,5,0.015,2000,9.958835183777849
20,1,5,0.015,4000,19.917670367555697
20,1,5,0.015,8000,39.835340735111394
20,1,5,0.02,500,2.4536197378614886
20,1,5,0.02,1000,4.907239475722977
20,1,5,0.02,2000,9.814478951445954
20,1,5,0.02,4000,19.62895790289191
20,1,5,0.02,8000,39.25791580578382
20,1,5,0.025,500,2.418341552065324
20,1,5,0.025,1000,4.836683104130648
20,1,5,0.025,2000,9.673366208261296
20,1,5,0.025,4000,19.346732416522592
20,1,5,0.025,8000,38.693464833045184
20,1,10,0,500,5.312319932067003
20,1,10,0,1000,10.624639864134005
20,1,10,0,2000,21.24927972826801
20,1,10,0,4000,42.49855945653602
20,1,10,0,8000,84.99711891307204
20,1,10,0.005,500,5.1672105760943845
20,1,10,0.005,1000,10.334421152188769
20,1,10,0.005,2000,20.668842304377538
20,1,10,0.005,4000,41.337684608755076
20,1,10,0.005,8000,82.67536921751015
20,1,10,0.01,500,5.027790081867473
20,1,10,0.01,1000,10.055580163734946
20,1,10,0.01,2000,20.111160327469893
20,1,10,0.01,4000,40.222320654939786
20,1,10,0.01,8000,80.44464130987957
20,1,10,0.015,500,4.893788987357838
20,1,10,0.015,1000,9.787577974715676
20,1,10,0.015,2000,19.575155949431352
20,1,10,0.015,4000,39.150311898862704
20,1,10,0.015,8000,78.30062379772541
20,1,10,0.02,500,4.764952389184857
20,1,10,0.02,1000,9.529904778369714
20,1,10,0.02,2000,19.059809556739427
20,1,10,0.02,4000,38.119619113478855
20,1,10,0.02,8000,76.23923822695771
20,1,10,0.025,500,4.6410390701897875
20,1,10,0.025,1000,9.282078140379575
20,1,10,0.025,2000,18.56415628075915
20,1,10,0.025,4000,37.1283125615183
20,1,10,0.025,8000,74.2566251230366
20,1,20,0,500,12.899182175675538
20,1,20,0,1000,25.798364351351076
20,1,20,0,2000,51.59672870270215
20,1,20,0,4000,103.1934574054043
20,1,20,0,8000,206.3869148108086
20,1,20,0.005,500,12.170483087114512
20,1,20,0.005,1000,24.340966174229024
20,1,20,0.005,2000,48.68193234845805
20,1,20,0.005,4000,97.3638646969161
20,1,20,0.005,8000,194.7277293938322
20,1,20,0.01,500,11.496248780434653
20,1,20,0.01,1000,22.992497560869307
20,1,20,0.01,2000,45.98499512173861
20,1,20,0.01,4000,91.96999024347723
20,1,20,0.01,8000,183.93998048695445
20,1,20,0.015,500,10.871828969092784
20,1,20,0.015,1000,21.743657938185567
20,1,20,0.015,2000,43.487315876371134
20,1,20,0.015,4000,86.97463175274227
20,1,20,0.015,8000,173.94926350548454
20,1,20,0.02,500,10.293007055504354
20,1,20,0.02,1000,20.58601411100871
20,1,20,0.02,2000,41.17202822201742
20,1,20,0.02,4000,82.34405644403483
20,1,20,0.02,8000,164.68811288806967
20,1,20,0.025,500,9.755956839341213
20,1,20,0.025,1000,19.511913678682426
20,1,20,0.025,2000,39.02382735736485
20,1,20,0.025,4000,78.0476547147297
20,1,20,0.025,8000,156.0953094294594
20,1,30,0,500,31.26232043752085
20,1,30,0,1000,62.5246408750417
20,1,30,0,2000,125.0492817500834
20,1,30,0,4000,250.0985635001668
20,1,30,0,8000,500.1971270003336
20,1,30,0.005,500,28.28426380773285
20,1,30,0.005,1000,56.5685276154657
20,1,30,0.005,2000,113.1370552309314
20,1,30,0.005,4000,226.2741104618628
20,1,30,0.005,8000,452.5482209237256
20,1,30,0.01,500,25.648108803587466
20,1,30,0.01,1000,51.29621760717493
20,1,30,0.01,2000,102.59243521434986
20,1,30,0.01,4000,205.18487042869972
20,1,30,0.01,8000,410.36974085739945
20,1,30,0.015,500,23.31099985965568
20,1,30,0.015,1000,46.62199971931136
20,1,30,0.015,2000,93.24399943862272
20,1,30,0.015,4000,186.48799887724545
20,1,30,0.015,8000,372.9759977544909
20,1,30,0.02,500,21.235783347419524
20,1,30,0.02,1000,42.47156669483905
20,1,30,0.02,2000,84.9431333896781
20,1,30,0.02,4000,169.8862667793562
20,1,30,0.02,8000,339.7725335587124
20,1,30,0.025,500,19.39021237989446
20,1,30,0.025,1000,38.78042475978892
20,1,30,0.025,2000,77.56084951957784
20,1,30,0.025,4000,155.1216990391557
20,1,30,0.025,8000,310.2433980783114
20,1,40,0,500,67.64488834524519
20,1,40,0,1000,135.28977669049038
20,1,40,0,2000,270.57955338098077
20,1,40,0,4000,541.1591067619615
20,1,40,0,8000,1082.318213523923
20,1,40,0.005,500,58.69263127497352
20,1,40,0.005,1000,117.38526254994704
20,1,40,0.005,2000,234.7705250998941
20,1,40,0.005,4000,469.5410501997882
20,1,40,0.005,8000,939.0821003995763
20,1,40,0.01,500,51.09099184628185
20,1,40,0.01,1000,102.1819836925637
20,1,40,0.01,2000,204.3639673851274
20,1,40,0.01,4000,408.7279347702548
20,1,40,0.01,8000,817.4558695405096
20,1,40,0.015,500,44.62221014953734
20,1,40,0.015,1000,89.24442029907468
20,1,40,0.015,2000,178.48884059814935
20,1,40,0.015,4000,356.9776811962987
20,1,40,0.015,8000,713.9553623925974
20,1,40,0.02,500,39.10533484883158
20,1,40,0.02,1000,78.21066969766316
20,1,40,0.02,2000,156.42133939532633
20,1,40,0.02,4000,312.84267879065266
20,1,40,0.02,8000,625.6853575813053
20,1,40,0.025,500,34.389759840794596
20,1,40,0.025,1000,68.77951968158919
20,1,40,0.025,2000,137.55903936317839
20,1,40,0.025,4000,275.11807872635677
20,1,40,0.025,8000,550.2361574527135
20,5,5,0,500,0.5217007241003448
20,5,5,0,1000,1.0434014482006897
20,5,5,0,2000,2.0868028964013794
20,5,5,0,4000,4.173605792802759
20,5,5,0,8000,8.347211585605518
20,5,5,0.005,500,0.5190846154989006
20,5,5,0.005,1000,1.0381692309978012
20,5,5,0.005,2000,2.0763384619956025
20,5,5,0.005,4000,4.152676923991205
20,5,5,0.005,8000,8.30535384798241
20,5,5,0.01,500,0.5164943385199132
20,5,5,0.01,1000,1.0329886770398264
20,5,5,0.01,2000,2.065977354079653
20,5,5,0.01,4000,4.131954708159306
20,5,5,0.01,8000,8.263909416318612
20,5,5,0.015,500,0.5139295137067699
20,5,5,0.015,1000,1.0278590274135397
20,5,5,0.015,2000,2.0557180548270795
20,5,5,0.015,4000,4.111436109654159
20,5,5,0.015,8000,8.222872219308318
20,5,5,0.02,500,0.511389769020986
20,5,5,0.02,1000,1.022779538041972
20,5,5,0.02,2000,2.045559076083944
20,5,5,0.02,4000,4.091118152167888
20,5,5,0.02,8000,8.182236304335776
20,5,5,0.025,500,0.5088747396609411
20,5,5,0.025,1000,1.0177494793218822
20,5,5,0.025,2000,2.0354989586437644
20,5,5,0.025,4000,4.070997917287529
20,5,5,0.025,8000,8.141995834575058
20,5,10,0,500,1.0646746816106067
20,5,10,0,1000,2.1293493632212135
20,5,10,0,2000,4.258698726442427
20,5,10,0,4000,8.517397452884854
20,5,10,0,8000,17.034794905769708
20,5,10,0.005,500,1.0459373121484308
20,5,10,0.005,1000,2.0918746242968616
20,5,10,0.005,2000,4.183749248593723
20,5,10,0.005,4000,8.367498497187446
20,5,10,0.005,8000,16.734996994374892
20,5,10,0.01,500,1.0277809310932715
20,5,10,0.01,1000,2.055561862186543
20,5,10,0.01,2000,4.111123724373086
20,5,10,0.01,4000,8.222247448746172
20,5,10,0.01,8000,16.444494897492344
20,5,10,0.015,500,1.0101834393456763
20,5,10,0.015,1000,2.0203668786913527
20,5,10,0.015,2000,4.040733757382705
20,5,10,0.015,4000,8.08146751476541
20,5,10,0.015,8000,16.16293502953082
20,5,10,0.02,500,0.9931236956159497
20,5,10,0.02,1000,1.9862473912318994
20,5,10,0.02,2000,3.972494782463799
20,5,10,0.02,4000,7.944989564927598
20,5,10,0.02,8000,15.889979129855195
20,5,10,0.025,500,0.9765814702981583
20,5,10,0.025,1000,1.9531629405963167
20,5,10,0.025,2000,3.9063258811926334
20,5,10,0.025,4000,7.812651762385267
20,5,10,0.025,8000,15.625303524770533
20,5,20,0,500,2.585204364862291
20,5,20,0,1000,5.170408729724582
20,5,20,0,2000,10.340817459449164
20,5,20,0,4000,20.68163491889833
20,5,20,0,8000,41.36326983779666
20,5,20,0.005,500,2.463526922354707
20,5,20,0.005,1000,4.927053844709414
20,5,20,0.005,2000,9.854107689418829
20,5,20,0.005,4000,19.708215378837657
20,5,20,0.005,8000,39.416430757675315
20,5,20,0.01,500,2.3500633644685367
20,5,20,0.01,1000,4.700126728937073
20,5,20,0.01,2000,9.400253457874147
20,5,20,0.01,4000,18.800506915748294
20,5,20,0.01,8000,37.60101383149659
20,5,20,0.015,500,2.2441796342971445
20,5,20,0.015,1000,4.488359268594289
20,5,20,0.015,2000,8.976718537188578
20,5,20,0.015,4000,17.953437074377156
20,5,20,0.015,8000,35.90687414875431
20,5,20,0.02,500,2.1452951406534937
20,5,20,0.02,1000,4.290590281306987
20,5,20,0.02,2000,8.581180562613975
20,5,20,0.02,4000,17.16236112522795
20,5,20,0.02,8000,34.3247222504559
20,5,20,0.025,500,2.052877928894403
20,5,20,0.025,1000,4.105755857788806
20,5,20,0.025,2000,8.211511715577611
20,5,20,0.025,4000,16.423023431155222
20,5,20,0.025,8000,32.846046862310445
20,5,30,0,500,6.265473744777928
20,5,30,0,1000,12.530947489555857
20,5,30,0,2000,25.061894979111713
20,5,30,0,4000,50.123789958223426
20,5,30,0,8000,100.24757991644685
20,5,30,0.005,500,5.72524893799042
20,5,30,0.005,1000,11.45049787598084
20,5,30,0.005,2000,22.90099575196168
20,5,30,0.005,4000,45.80199150392336
20,5,30,0.005,8000,91.60398300784672
20,5,30,0.01,500,5.242986822779507
20,5,30,0.01,1000,10.485973645559014
20,5,30,0.01,2000,20.971947291118028
20,5,30,0.01,4000,41.943894582236055
20,5,30,0.01,8000,83.88778916447211
20,5,30,0.015,500,4.8118923953701875
20,5,30,0.015,1000,9.623784790740375
20,5,30,0.015,2000,19.24756958148075
20,5,30,0.015,4000,38.4951391629615
20,5,30,0.015,8000,76.990278325923
20,5,30,0.02,500,4.426016865385041
20,5,30,0.02,1000,8.852033730770081
20,5,30,0.02,2000,17.704067461540163
20,5,30,0.02,4000,35.408134923080326
20,5,30,0.02,8000,70.81626984616065
20,5,30,0.025,500,4.080147102613493
20,5,30,0.025,1000,8.160294205226986
20,5,30,0.025,2000,16.320588410453972
20,5,30,0.025,4000,32.641176820907944
20,5,30,0.025,8000,65.28235364181589
20,5,40,0,500,13.55712774880566
20,5,40,0,1000,27.11425549761132
20,5,40,0,2000,54.22851099522264
20,5,40,0,4000,108.45702199044528
20,5,40,0,8000,216.91404398089057
20,5,40,0.005,500,11.880455052997904
20,5,40,0.005,1000,23.76091010599581
20,5,40,0.005,2000,47.52182021199162
20,5,40,0.005,4000,95.04364042398323
20,5,40,0.005,8000,190.08728084796647
20,5,40,0.01,500,10.444021392147377
20,5,40,0.01,1000,20.888042784294754
20,5,40,0.01,2000,41.77608556858951
20,5,40,0.01,4000,83.55217113717902
20,5,40,0.01,8000,167.10434227435803
20,5,40,0.015,500,9.210985156187146
20,5,40,0.015,1000,18.42197031237429
20,5,40,0.015,2000,36.84394062474858
20,5,40,0.015,4000,73.68788124949717
20,5,40,0.015,8000,147.37576249899433
20,5,40,0.02,500,8.150434986825665
20,5,40,0.02,1000,16.30086997365133
20,5,40,0.02,2000,32.60173994730266
20,5,40,0.02,4000,65.20347989460532
20,5,40,0.02,8000,130.40695978921065
20,5,40,0.025,500,7.236397220666012
20,5,40,0.025,1000,14.472794441332024
20,5,40,0.025,2000,28.945588882664048
20,5,40,0.025,4000,57.891177765328095
20,5,40,0.025,8000,115.78235553065619
20,10,10,0,500,0.53374204465354
20,10,10,0,1000,1.06748408930708
20,10,10,0,2000,2.13496817861416
20,10,10,0,4000,4.26993635722832
20,10,10,0,8000,8.53987271445664
20,10,10,0.005,500,0.5308687714813373
20,10,10,0.005,1000,1.0617375429626745
20,10,10,0.005,2000,2.123475085925349
20,10,10,0.005,4000,4.246950171850698
20,10,10,0.005,8000,8.493900343701396
20,10,10,0.01,500,0.5280262055642679
20,10,10,0.01,1000,1.0560524111285359
20,10,10,0.01,2000,2.1121048222570717
20,10,10,0.01,4000,4.2242096445141435
20,10,10,0.01,8000,8.448419289028287
20,10,10,0.015,500,0.5252139084937754
20,10,10,0.015,1000,1.0504278169875507
20,10,10,0.015,2000,2.1008556339751014
20,10,10,0.015,4000,4.201711267950203
20,10,10,0.015,8000,8.403422535900406
20,10,10,0.02,500,0.522431448695428
20,10,10,0.02,1000,1.044862897390856
20,10,10,0.02,2000,2.089725794781712
20,10,10,0.02,4000,4.179451589563424
20,10,10,0.02,8000,8.358903179126848
20,10,10,0.025,500,0.5196784012909158
20,10,10,0.025,1000,1.0393568025818316
20,10,10,0.025,2000,2.078713605163663
20,10,10,0.025,4000,4.157427210327326
20,10,10,0.025,8000,8.314854420654653
20,10,20,0,500,1.2960130332595947
20,10,20,0,1000,2.5920260665191894
20,10,20,0,2000,5.184052133038379
20,10,20,0,4000,10.368104266076758
20,10,20,0,8000,20.736208532153515
20,10,20,0.005,500,1.2503708354139385
20,10,20,0.005,1000,2.500741670827877
20,10,20,0.005,2000,5.001483341655754
20,10,20,0.005,4000,10.002966683311508
20,10,20,0.005,8000,20.005933366623015
20,10,20,0.01,500,1.207353633089839
20,10,20,0.01,1000,2.414707266179678
20,10,20,0.01,2000,4.829414532359356
20,10,20,0.01,4000,9.658829064718711
20,10,20,0.01,8000,19.317658129437422
20,10,20,0.015,500,1.1667923974825747
20,10,20,0.015,1000,2.3335847949651494
20,10,20,0.015,2000,4.667169589930299
20,10,20,0.015,4000,9.334339179860597
20,10,20,0.015,8000,18.668678359721195
20,10,20,0.02,500,1.128529762363337
20,10,20,0.02,1000,2.257059524726674
20,10,20,0.02,2000,4.514119049453348
20,10,20,0.02,4000,9.028238098906696
20,10,20,0.02,8000,18.056476197813392
20,10,20,0.025,500,1.0924191709346436
20,10,20,0.025,1000,2.184838341869287
20,10,20,0.025,2000,4.369676683738574
20,10,20,0.025,4000,8.739353367477149
20,10,20,0.025,8000,17.478706734954297
20,10,30,0,500,3.141003374102897
20,10,30,0,1000,6.282006748205794
20,10,30,0,2000,12.564013496411588
20,10,30,0,4000,25.128026992823177
20,10,30,0,8000,50.25605398564635
20,10,30,0.005,500,2.9058681001567375
20,10,30,0.005,1000,5.811736200313475
20,10,30,0.005,2000,11.62347240062695
20,10,30,0.005,4000,23.2469448012539
20,10,30,0.005,8000,46.4938896025078
20,10,30,0.01,500,2.693603621260885
20,10,30,0.01,1000,5.38720724252177
20,10,30,0.01,2000,10.77441448504354
20,10,30,0.01,4000,21.54882897008708
20,10,30,0.01,8000,43.09765794017416
20,10,30,0.015,500,2.501795925164677
20,10,30,0.015,1000,5.003591850329354
20,10,30,0.015,2000,10.007183700658707
20,10,30,0.015,4000,20.014367401317415
20,10,30,0.015,8000,40.02873480263483
20,10,30,0.02,500,2.3283005059096773
20,10,30,0.02,1000,4.656601011819355
20,10,30,0.02,2000,9.31320202363871
20,10,30,0.02,4000,18.62640404727742
20,10,30,0.02,8000,37.25280809455484
20,10,30,0.025,500,2.171210890035194
20,10,30,0.025,1000,4.342421780070388
20,10,30,0.025,2000,8.684843560140775
20,10,30,0.025,4000,17.36968712028155
20,10,30,0.025,8000,34.7393742405631
20,10,40,0,500,6.7964507931477876
20,10,40,0,1000,13.592901586295575
20,10,40,0,2000,27.18580317259115
20,10,40,0,4000,54.3716063451823
20,10,40,0,8000,108.7432126903646
20,10,40,0.005,500,6.029962317406276
20,10,40,0.005,1000,12.059924634812552
20,10,40,0.005,2000,24.119849269625103
20,10,40,0.005,4000,48.239698539250206
20,10,40,0.005,8000,96.47939707850041
20,10,40,0.01,500,5.365654119172563
20,10,40,0.01,1000,10.731308238345125
20,10,40,0.01,2000,21.46261647669025
20,10,40,0.01,4000,42.9252329533805
20,10,40,0.01,8000,85.850465906761
20,10,40,0.015,500,4.788969336195747
20,10,40,0.015,1000,9.577938672391493
20,10,40,0.015,2000,19.155877344782986
20,10,40,0.015,4000,38.31175468956597
20,10,40,0.015,8000,76.62350937913195
20,10,40,0.02,500,4.28752589074449
20,10,40,0.02,1000,8.57505178148898
20,10,40,0.02,2000,17.15010356297796
20,10,40,0.02,4000,34.30020712595592
20,10,40,0.02,8000,68.60041425191184
20,10,40,0.025,500,3.85077891923712
20,10,40,0.025,1000,7.70155783847424
20,10,40,0.025,2000,15.40311567694848
20,10,40,0.025,4000,30.80623135389696
20,10,40,0.025,8000,61.61246270779392
20,20,20,0,500,0.6518994746487228
20,20,20,0,1000,1.3037989492974456
20,20,20,0,2000,2.607597898594891
20,20,20,0,4000,5.215195797189782
20,20,20,0,8000,10.430391594379564
20,20,20,0.005,500,0.6445206419751388
20,20,20,0.005,1000,1.2890412839502776
20,20,20,0.005,2000,2.5780825679005552
20,20,20,0.005,4000,5.1561651358011105
20,20,20,0.005,8000,10.312330271602221
20,20,20,0.01,500,0.6372926119935673
20,20,20,0.01,1000,1.2745852239871347
20,20,20,0.01,2000,2.5491704479742694
20,20,20,0.01,4000,5.098340895948539
20,20,20,0.01,8000,10.196681791897078
20,20,20,0.015,500,0.6302155094598285
20,20,20,0.015,1000,1.260431018919657
20,20,20,0.015,2000,2.520862037839314
20,20,20,0.015,4000,5.041724075678628
20,20,20,0.015,8000,10.083448151357256
20,20,20,0.02,500,0.6232891976299562
20,20,20,0.02,1000,1.2465783952599123
20,20,20,0.02,2000,2.4931567905198246
20,20,20,0.02,4000,4.986313581039649
20,20,20,0.02,8000,9.972627162079299
20,20,20,0.025,500,0.6165132829855021
20,20,20,0.025,1000,1.2330265659710042
20,20,20,0.025,2000,2.4660531319420085
20,20,20,0.025,4000,4.932106263884017
20,20,20,0.025,8000,9.864212527768034
20,20,30,0,500,1.5799366186137735
20,20,30,0,1000,3.159873237227547
20,20,30,0,2000,6.319746474455094
20,20,30,0,4000,12.639492948910188
20,20,30,0,8000,25.278985897820377
20,20,30,0.005,500,1.4978692083681489
20,20,30,0.005,1000,2.9957384167362977
20,20,30,0.005,2000,5.991476833472595
20,20,30,0.005,4000,11.98295366694519
20,20,30,0.005,8000,23.96590733389038
20,20,30,0.01,500,1.4217985852873547
20,20,30,0.01,1000,2.8435971705747094
20,20,30,0.01,2000,5.687194341149419
20,20,30,0.01,4000,11.374388682298838
20,20,30,0.01,8000,22.748777364597675
20,20,30,0.015,500,1.3512863101816075
