age,nb_payements,interest_rate,amount,target
20,1,0,500,499.9949454615301
20,1,0,1000,999.9898909230602
20,1,0,2000,1999.9797818461204
20,1,0,4000,3999.959563692241
20,1,0,8000,7999.919127384482
20,1,0.005,500,377.76642110889264
20,1,0.005,1000,755.5328422177853
20,1,0.005,2000,1511.0656844355706
20,1,0.005,4000,3022.131368871141
20,1,0.005,8000,6044.262737742282
20,1,0.01,500,287.44292667446825
20,1,0.01,1000,574.8858533489365
20,1,0.01,2000,1149.771706697873
20,1,0.01,4000,2299.543413395746
20,1,0.01,8000,4599.086826791492
20,1,0.015,500,220.34365431379123
20,1,0.015,1000,440.68730862758247
20,1,0.015,2000,881.3746172551649
20,1,0.015,4000,1762.7492345103299
20,1,0.015,8000,3525.4984690206597
20,1,0.02,500,170.22617566570696
20,1,0.02,1000,340.4523513314139
20,1,0.02,2000,680.9047026628278
20,1,0.02,4000,1361.8094053256557
20,1,0.02,8000,2723.6188106513114
20,1,0.025,500,132.58320031244887
20,1,0.025,1000,265.16640062489773
20,1,0.025,2000,530.3328012497955
20,1,0.025,4000,1060.665602499591
20,1,0.025,8000,2121.331204999182
20,5,0,500,100.20705947185657
20,5,0,1000,200.41411894371313
20,5,0,2000,400.82823788742627
20,5,0,4000,801.6564757748525
20,5,0,8000,1603.312951549705
20,5,0.005,500,76.46678789181789
20,5,0.005,1000,152.93357578363577
20,5,0.005,2000,305.86715156727155
20,5,0.005,4000,611.7343031345431
20,5,0.005,8000,1223.4686062690862
20,5,0.01,500,58.75908779069967
20,5,0.01,1000,117.51817558139933
20,5,0.01,2000,235.03635116279867
20,5,0.01,4000,470.07270232559733
20,5,0.01,8000,940.1454046511947
20,5,0.015,500,45.48367555849106
20,5,0.015,1000,90.96735111698212
20,5,0.015,2000,181.93470223396423
20,5,0.015,4000,363.86940446792846
20,5,0.015,8000,727.7388089358569
20,5,0.02,500,35.47897961192791
20,5,0.02,1000,70.95795922385582
20,5,0.02,2000,141.91591844771165
20,5,0.02,4000,283.8318368954233
20,5,0.02,8000,567.6636737908466
20,5,0.025,500,27.898557788411757
20,5,0.025,1000,55.797115576823515
20,5,0.025,2000,111.59423115364703
20,5,0.025,4000,223.18846230729406
20,5,0.025,8000,446.3769246145881
20,10,0,500,50.23574030173948
20,10,0,1000,100.47148060347897
20,10,0,2000,200.94296120695793
20,10,0,4000,401.88592241391586
20,10,0,8000,803.7718448278317
20,10,0.005,500,38.810958626067844
20,10,0.005,1000,77.62191725213569
20,10,0.005,2000,155.24383450427138
20,10,0.005,4000,310.48766900854275
20,10,0.005,8000,620.9753380170855
20,10,0.01,500,30.18769586971954
20,10,0.01,1000,60.37539173943908
20,10,0.01,2000,120.75078347887816
20,10,0.01,4000,241.50156695775632
20,10,0.01,8000,483.00313391551265
20,10,0.015,500,23.64784264154165
20,10,0.015,1000,47.2956852830833
20,10,0.015,2000,94.5913705661666
20,10,0.015,4000,189.1827411323332
20,10,0.015,8000,378.3654822646664
20,10,0.02,500,18.663671805151292
20,10,0.02,1000,37.327343610302584
20,10,0.02,2000,74.65468722060517
20,10,0.02,4000,149.30937444121034
20,10,0.02,8000,298.6187488824207
20,10,0.025,500,14.845948188406243
20,10,0.025,1000,29.691896376812487
20,10,0.025,2000,59.383792753624974
20,10,0.025,4000,118.76758550724995
20,10,0.025,8000,237.5351710144999
20,20,0,500,25.26876803771618
20,20,0,1000,50.53753607543236
20,20,0,2000,101.07507215086471
20,20,0,4000,202.15014430172943
20,20,0,8000,404.30028860345885
20,20,0.005,500,20.005636136788727
20,20,0.005,1000,40.011272273577454
20,20,0.005,2000,80.02254454715491
20,20,0.005,4000,160.04508909430982
20,20,0.005,8000,320.09017818861963
20,20,0.01,500,15.934350155261814
20,20,0.01,1000,31.86870031052363
20,20,0.01,2000,63.73740062104726
20,20,0.01,4000,127.47480124209451
20,20,0.01,8000,254.94960248418903
20,20,0.015,500,12.772826794312053
20,20,0.015,1000,25.545653588624106
20,20,0.015,2000,51.09130717724821
20,20,0.015,4000,102.18261435449642
20,20,0.015,8000,204.36522870899284
20,20,0.02,500,10.307982485016922
20,20,0.02,1000,20.615964970033843
20,20,0.02,2000,41.23192994006769
20,20,0.02,4000,82.46385988013537
20,20,0.02,8000,164.92771976027075
20,20,0.025,500,8.378399519331193
20,20,0.025,1000,16.756799038662386
20,20,0.025,2000,33.51359807732477
20,20,0.025,4000,67.02719615464954
20,20,0.025,8000,134.0543923092991
20,30,0,500,17.012289711107528
20,30,0,1000,34.024579422215055
20,30,0,2000,68.04915884443011
20,30,0,4000,136.09831768886022
20,30,0,8000,272.19663537772044
20,30,0.005,500,13.795302007133241
20,30,0.005,1000,27.590604014266482
20,30,0.005,2000,55.181208028532964
20,30,0.005,4000,110.36241605706593
20,30,0.005,8000,220.72483211413186
20,30,0.01,500,11.24136792873988
20,30,0.01,1000,22.48273585747976
20,30,0.01,2000,44.96547171495952
20,30,0.01,4000,89.93094342991904
20,30,0.01,8000,179.86188685983808
20,30,0.015,500,9.20859260281529
20,30,0.015,1000,18.41718520563058
20,30,0.015,2000,36.83437041126116
20,30,0.015,4000,73.66874082252232
20,30,0.015,8000,147.33748164504465
20,30,0.02,500,7.586257770202135
20,30,0.02,1000,15.17251554040427
20,30,0.02,2000,30.34503108080854
20,30,0.02,4000,60.69006216161708
20,30,0.02,8000,121.38012432323416
20,30,0.025,500,6.287829210743007
20,30,0.025,1000,12.575658421486015
20,30,0.025,2000,25.15131684297203
