#### EXPORT DONNEES METEO POUR "AJACCIO (CORSE-DU-SUD)" (LAT/LON: 41.919229/8.738635)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,9,8,9,11,10,0.2,90,9.375,1025,56.375,11,9,9,116,122,116,0,3,5.3,météo défavorable
2009-01-02,8,7,14,8,8,7,5.6,91,9.5,1020,78.625,8,7,5,119,122,122,0,3,3.6,météo très défavorable
2009-01-03,8,5,22,8,7,6,0.7,88,8,1016,71.375,8,6,3,122,116,116,0,2,5.3,météo très défavorable
2009-01-04,7,3,12,4,7,4,0,73,10,1016,11.625,7,3,2,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,7,2,15,2,7,6,0,70,10,1014,5.75,7,2,4,113,113,113,0,3,8.7,météo très défavorable
2009-01-06,7,4,10,5,7,7,0.5,84,9,1012,52.125,7,5,4,113,122,119,0,3,3.6,météo très défavorable
2009-01-07,9,6,19,8,8,7,2.6,87,9,1013,59.5,9,7,5,200,119,116,0,2,7,météo défavorable
2009-01-08,7,4,8,6,7,7,0.5,85,9.875,1019,34.25,8,5,5,116,113,113,0,3,8.7,météo très défavorable
2009-01-09,10,8,15,8,10,9,1.9,90,8.5,1022,51.75,10,8,5,200,116,116,0,3,8.7,météo défavorable
2009-01-10,10,7,14,7,10,8,0.4,85,9.375,1024,57.25,10,7,5,116,116,119,0,2,7,météo défavorable
2009-01-11,10,7,14,7,10,8,0.1,80,10,1026,38,10,6,6,116,116,116,0,3,8.7,météo défavorable
2009-01-12,12,8,14,8,12,9,0,86,10,1026,28.375,12,8,6,116,113,116,0,3,8.7,météo défavorable
2009-01-13,10,8,17,9,10,8,2.2,91,9.75,1020,67.625,10,8,6,116,116,122,0,3,5.3,météo défavorable
2009-01-14,9,7,17,8,9,7,2.6,87,9.25,1010,36,9,6,4,116,113,113,0,2,7,météo défavorable
2009-01-15,9,6,15,7,9,6,0.4,84,9,1017,33.875,9,5,4,116,113,113,0,3,7,météo défavorable
2009-01-16,10,5,6,7,10,6,0.1,89,10,1024,21.75,10,7,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-17,10,5,9,5,10,6,0,81,10,1025,28.375,10,5,8,113,119,113,0,3,7,météo très défavorable
2009-01-18,10,5,15,5,10,9,0.1,82,10,1024,37.25,10,8,7,113,113,119,0,3,8.7,météo très défavorable
2009-01-19,11,10,26,10,11,10,1.3,94,9.875,1016,89.125,11,10,8,122,122,122,0,4,3.7,météo défavorable
2009-01-20,11,9,35,11,10,10,10.5,96,9.125,1004,92.125,11,10,7,122,122,122,0,3,3.7,météo défavorable
2009-01-21,9,7,21,8,9,7,0,75,10,1006,31.875,9,6,5,116,116,113,0,2,8.7,météo défavorable
2009-01-22,8,5,17,6,8,6,0,73,10,1007,27.625,8,4,4,113,116,116,0,3,8.7,météo très défavorable
2009-01-23,12,4,19,5,8,12,4.6,96,8,1003,62.75,12,11,4,116,143,122,0,3,5.4,météo très défavorable
2009-01-24,11,7,37,9,10,8,11,93,8.875,993,66.875,12,10,4,119,200,122,0,3,5.4,météo défavorable
2009-01-25,9,6,17,7,9,6,0.5,86,9,999,49.25,9,7,5,116,116,113,0,2,7,météo défavorable
2009-01-26,9,6,27,9,8,7,10.9,92,8.875,998,81.125,9,7,2,200,122,200,0,3,3.7,météo défavorable
2009-01-27,8,7,33,8,8,8,4.7,88,8.625,1003,71,8,6,3,200,200,116,0,2,5.4,météo très défavorable
2009-01-28,9,7,14,7,9,8,0.1,83,10,1008,21.5,9,5,5,116,116,113,0,3,8.7,météo défavorable
2009-01-29,10,6,13,6,10,7,0,77,10,1014,9.625,10,5,7,116,113,113,0,3,8.7,météo défavorable
2009-01-30,10,6,9,6,10,6,0,80,10,1016,12.25,10,6,8,113,113,113,0,3,8.7,météo défavorable
2009-01-31,10,4,12,6,10,7,0.3,82,9,1014,33.625,10,5,6,113,113,119,0,3,8.7,météo très défavorable
2009-02-01,10,7,12,7,9,10,1.8,89,8,1005,54.5,10,8,6,116,119,116,0,2,7.1,météo défavorable
2009-02-02,10,8,22,8,10,8,0.4,90,9,1002,69.5,10,8,6,122,116,116,0,2,5.4,météo défavorable
2009-02-03,13,8,18,9,13,11,8.1,89,9.5,1000,46.75,13,10,8,113,200,200,0,4,7.1,météo correcte
2009-02-04,11,9,19,9,11,10,4.4,82,9.875,1004,74.75,11,10,7,119,116,122,0,2,7.1,météo défavorable
2009-02-05,14,10,21,10,14,11,0.6,86,9.875,1006,36.125,14,10,8,116,116,116,0,4,7.1,météo correcte
2009-02-06,11,9,28,10,11,10,2.3,86,9.75,1001,56.125,11,9,7,116,116,122,0,3,8.7,météo défavorable
2009-02-07,9,7,25,8,8,7,2.9,85,9.75,993,74.125,9,7,4,119,116,200,0,2,8.7,météo défavorable
2009-02-08,7,5,21,5,6,7,0,81,10,1002,81.625,7,5,2,122,122,119,0,2,3.8,météo très défavorable
2009-02-09,10,6,21,6,10,8,0,73,10,1013,23.875,10,7,6,113,113,116,0,3,8.7,météo défavorable
2009-02-10,11,8,27,10,11,10,1.2,91,9.875,1013,49.25,11,10,8,122,116,113,0,3,8.7,météo défavorable
2009-02-11,8,5,37,6,7,5,2.1,79,9.75,1009,38,8,3,2,113,116,200,0,3,7.1,météo très défavorable
2009-02-12,7,4,18,5,7,5,0.3,61,10,1010,15.625,8,0,4,113,113,113,0,3,8.7,météo très défavorable
2009-02-13,5,2,25,5,5,3,1.9,74,9.625,1014,28.75,5,0,-1,200,113,113,0,2,8.7,météo très défavorable
2009-02-14,6,3,12,4,6,3,0,45,10,1018,22.125,6,0,3,113,116,113,0,2,8.7,météo très défavorable
2009-02-15,7,2,18,3,7,4,0,49,10,1024,10.5,7,0,3,113,113,113,0,2,8.7,météo très défavorable
2009-02-16,6,1,8,2,6,4,0,46,10,1024,31.375,6,0,4,116,116,113,0,2,7.1,météo très défavorable
2009-02-17,8,2,18,2,8,5,0,69,10,1022,28.375,8,4,4,113,113,119,0,2,10.1,météo très défavorable
2009-02-18,8,3,20,7,8,4,0.2,81,9.875,1018,15.5,8,5,3,116,113,113,0,3,10.9,météo très défavorable
2009-02-19,8,3,12,3,8,4,0,62,10,1021,12,8,0,3,113,113,116,0,2,10.9,météo très défavorable
2009-02-20,8,3,12,3,8,5,0,55,10,1027,2.25,8,1,6,113,113,113,0,3,10.9,météo très défavorable
2009-02-21,9,4,10,5,9,6,0,72,10,1025,29.875,9,3,6,119,113,113,0,3,10.9,météo très défavorable
2009-02-22,11,3,15,3,11,7,0,67,10,1024,39.75,11,5,7,113,116,122,0,3,10.1,météo très défavorable
2009-02-23,12,7,12,7,12,8,0.5,73,9.375,1015,45.375,12,6,9,116,113,119,0,2,10.1,météo défavorable
2009-02-24,12,7,15,7,12,7,0,69,10,1017,7.75,12,5,7,113,113,113,0,3,11,météo défavorable
2009-02-25,10,5,23,6,10,6,0.1,64,10,1028,8.5,10,3,4,113,113,113,0,3,11,météo très défavorable
2009-02-26,9,4,19,4,9,8,0.1,79,10,1028,48,9,6,6,113,119,119,0,3,7.1,météo très défavorable
2009-02-27,13,8,11,9,13,8,0,70,10,1019,19.125,13,7,10,113,113,113,0,2,11.1,météo correcte
2009-02-28,13,7,14,7,13,9,0,71,10,1019,10.625,13,8,9,113,113,113,0,3,11.1,météo correcte
2009-03-01,10,9,13,9,10,10,1.5,91,9,1016,80.125,10,9,7,119,122,143,0,3,5.6,météo défavorable
2009-03-02,11,10,13,10,11,10,7.1,95,8.5,1016,85.125,11,10,8,122,143,119,0,3,5.8,météo défavorable
2009-03-03,12,8,15,9,12,9,0.3,84,9.375,1016,52.25,12,8,8,116,116,119,0,2,10.2,météo défavorable
2009-03-04,10,8,30,9,10,10,12.6,95,8.5,1010,98.875,11,10,6,122,122,200,0,2,5.8,météo défavorable
2009-03-05,9,6,39,8,6,6,6.1,86,9.5,985,80.75,9,8,1,200,122,116,0,2,7.3,météo défavorable
2009-03-06,9,5,22,5,9,7,0.7,79,10,994,46.75,9,4,5,119,113,113,0,2,11.6,météo très défavorable
2009-03-07,13,8,22,8,13,9,0.1,63,10,1006,14.25,13,5,9,113,113,113,0,3,11.6,météo correcte
2009-03-08,14,6,19,7,14,9,0,62,10,1013,6.5,14,9,10,113,113,113,0,3,11.6,météo correcte
2009-03-09,12,8,37,10,12,10,0,61,10,1017,8.5,12,7,7,113,113,113,0,4,11.6,météo défavorable
2009-03-10,12,7,24,7,12,9,0.3,63,9,1019,32.5,12,8,8,113,113,122,0,3,10.2,météo défavorable
2009-03-11,13,9,14,9,13,9,0,72,10,1016,16.75,13,7,10,116,113,113,0,4,11.6,météo correcte
2009-03-12,14,8,9,8,14,9,0,57,10,1024,6.75,14,4,11,113,113,113,0,3,11.6,météo correcte
