#### EXPORT DONNEES METEO POUR "AUBUSSON" (LAT/LON: 45.95409/2.1689379)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-1,21,-0,4,-0,0,74,10,1026,17.75,4,0,-6,116,116,113,0,2,8.7,météo très défavorable
2009-01-02,3,-4,18,-2,3,-3,0,84,10,1024,8,3,0,-10,116,113,113,0,2,8.7,météo très défavorable
2009-01-03,1,-5,23,-5,1,-4,0,79,10,1023,4.125,1,0,-11,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,2,-7,11,-5,2,-6,0,51,10,1024,9.375,2,0,-9,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,-0,-8,10,-8,-0,-5,0.2,78,9.375,1021,40.875,0,0,-9,113,116,116,0.2,2,8.7,météo très défavorable
2009-01-06,-4,-7,21,-7,-4,-6,0,89,10,1020,59.875,0,0,-13,116,119,119,0,2,3.3,météo très défavorable
2009-01-07,-5,-8,23,-7,-5,-7,0,90,10,1023,62.25,0,0,-16,122,116,113,0,1,8.7,météo très défavorable
2009-01-08,-3,-9,23,-9,-3,-7,0,93,10,1025,19.125,0,0,-15,116,113,113,0,2,8.7,météo très défavorable
2009-01-09,3,-6,14,-6,3,-2,0,84,10,1026,10.625,3,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-10,5,-3,10,-3,5,-2,0,72,10,1029,14.375,5,0,-6,116,113,113,0,2,8.7,météo très défavorable
2009-01-11,6,-4,8,-3,6,-4,0,80,10,1032,0,8,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,5,-4,17,-2,5,0,0,59,10,1031,18.125,5,0,-4,113,116,113,0,2,8.7,météo très défavorable
2009-01-13,6,0,17,1,6,2,1.1,94,9.875,1022,75.875,6,1,-2,116,119,122,0,2,3.4,météo très défavorable
2009-01-14,3,1,11,2,3,2,0.5,99,2.75,1020,93,3,2,-1,248,143,248,0,1,3.4,météo très défavorable
