#### EXPORT DONNEES METEO POUR "BREST (FINISTèRE)" (LAT/LON: 48.390394/-4.486076)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,5,3,22,3,4,5,1.3,83,9.25,1024,75.375,5,2,-2,119,122,122,0,2,3.1,météo très défavorable
2009-01-02,6,2,31,4,6,2,0,81,10,1025,36,6,1,-4,119,113,113,0,2,8.3,météo très défavorable
2009-01-03,4,0,25,1,4,2,0,80,10,1026,1,5,0,-4,113,113,113,0,2,8.3,météo très défavorable
2009-01-04,4,-2,8,-2,4,0,0,85,10,1026,38.125,5,0,-3,116,116,119,0,2,6.8,météo très défavorable
2009-01-05,7,1,25,5,7,5,0.7,88,9,1022,86.5,7,4,0,122,119,119,0,1,3.1,météo très défavorable
2009-01-06,3,1,23,3,3,1,0.2,81,9.375,1025,60.375,3,0,-4,119,119,113,0.1,1,6.8,météo très défavorable
2009-01-07,4,-1,19,-1,4,3,0.2,85,9,1028,40.125,4,2,-3,116,113,122,0,2,6.8,météo très défavorable
2009-01-08,6,3,24,5,6,5,0.3,88,10,1029,71.875,6,4,1,122,119,116,0,1,5,météo très défavorable
2009-01-09,5,-2,14,-2,3,0,0,84,10,1027,0,5,0,-6,113,113,113,0,2,8.4,météo très défavorable
2009-01-10,7,-2,22,-1,7,4,0,63,10,1028,14,7,0,-1,113,113,113,0,2,8.4,météo très défavorable
2009-01-11,10,4,41,7,10,10,0,86,10,1028,17.25,10,7,4,113,113,116,0,3,8.4,météo très défavorable
2009-01-12,12,9,46,10,10,12,4.8,92,9.25,1021,60.875,12,11,7,122,200,116,0,4,5,météo défavorable
2009-01-13,10,7,24,8,10,7,0.4,90,9.875,1016,30.125,10,9,4,113,116,113,0,3,8.4,météo défavorable
2009-01-14,11,5,31,5,10,8,0.2,92,9,1016,56,11,7,4,116,119,116,0,3,6.9,météo très défavorable
2009-01-15,10,9,38,9,10,9,0.4,90,9.375,1011,67.75,10,8,5,116,116,122,0,2,6.9,météo défavorable
2009-01-16,11,8,32,8,11,10,0.8,92,9.875,1015,45.5,11,8,6,116,116,116,0,3,6.9,météo défavorable
