#### EXPORT DONNEES METEO POUR "CALAIS" (LAT/LON: 50.95129/1.858686)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,0,13,3,3,1,0,83,10,1030,12.625,3,1,-2,113,113,113,0,1,8,météo très défavorable
2009-01-02,5,-0,18,2,5,4,0,79,10,1030,45.5,5,1,0,116,122,116,0,1,4.9,météo très défavorable
2009-01-03,2,-0,17,-0,2,1,0,76,10,1031,21.625,2,0,-5,113,113,116,0,1,8,météo très défavorable
2009-01-04,2,1,28,1,2,2,0,68,10,1027,38.875,2,0,-4,113,113,119,0,1,8.5,météo très défavorable
2009-01-05,4,-1,42,4,2,0,0.8,84,8.25,1025,58.625,4,2,-5,200,119,113,0.7,1,5,météo très défavorable
2009-01-06,0,-2,27,-2,0,-1,0,60,10,1026,8.25,0,0,-8,113,113,113,0,1,8.5,météo très défavorable
2009-01-07,5,-2,20,-0,4,5,0.1,91,10,1027,68.125,5,4,-3,116,119,122,0,1,3.2,météo très défavorable
2009-01-08,5,-1,13,1,3,0,0,87,10,1030,25.875,5,3,-1,113,113,113,0,1,8.5,météo très défavorable
2009-01-09,-1,-4,12,-4,-2,-3,0,77,10,1030,4,0,0,-8,113,113,113,0,1,8.5,météo très défavorable
2009-01-10,1,-4,15,-4,-1,0,0,82,10,1029,7,1,0,-8,113,113,113,0,1,8.6,météo très défavorable
2009-01-11,6,2,34,3,6,6,0,71,10,1028,25.25,6,3,-2,113,113,119,0,1,8.6,météo très défavorable
2009-01-12,8,5,45,5,6,7,2.6,85,9.625,1023,68.625,8,6,-1,116,119,122,0,1,5.1,météo très défavorable
2009-01-13,8,7,27,8,7,7,0.7,94,9,1012,94,8,7,3,122,122,122,0,1,3.2,météo très défavorable
2009-01-14,6,4,9,4,5,5,0,90,10,1017,34.75,6,5,3,116,113,116,0,1,8.6,météo très défavorable
2009-01-15,5,3,29,3,5,5,0,85,10,1017,62.375,5,3,-3,116,119,122,0,1,5.1,météo très défavorable
2009-01-16,7,3,27,3,5,6,0.2,88,9.375,1017,83.875,7,5,-2,122,116,122,0,1,5.1,météo très défavorable
2009-01-17,8,6,46,6,8,7,2.1,90,9.875,1016,70.5,8,6,2,122,113,116,0,1,6.9,météo très défavorable
2009-01-18,9,6,38,7,6,6,3.4,86,9.625,1002,51.375,9,7,1,116,119,113,0,1,6.9,météo défavorable
2009-01-19,8,4,47,4,8,5,3.5,92,9.375,1001,79,8,7,2,122,116,200,0,1,5.1,météo très défavorable
2009-01-20,6,5,30,6,6,5,1.8,88,9.75,998,71.5,6,4,1,116,122,200,0,1,5.1,météo très défavorable
2009-01-21,6,4,26,4,6,5,0,85,10,1006,63.625,6,3,0,116,122,116,0,1,3.3,météo très défavorable
2009-01-22,9,4,55,5,8,7,2.4,93,8.875,1001,82.25,9,7,-1,122,122,113,0,1,3.3,météo très défavorable
2009-01-23,9,5,63,9,5,6,1.2,92,8.875,985,74.625,9,8,-2,122,122,119,0,1,5.1,météo très défavorable
2009-01-24,6,4,20,4,5,5,0,84,10,996,24.125,6,3,1,113,116,113,0,1,6.9,météo très défavorable
2009-01-25,5,4,52,4,5,5,4.1,90,9.625,996,82.125,6,4,-2,119,122,122,0,1,3.4,météo très défavorable
2009-01-26,7,5,12,5,7,6,0.2,91,9,1007,71.25,7,5,3,119,116,116,0,1,6.9,météo très défavorable
2009-01-27,6,4,6,5,5,4,0,89,10,1016,31.875,6,4,3,116,116,113,0,1,8.7,météo très défavorable
2009-01-28,5,2,20,2,4,3,0,89,10,1018,30.75,5,2,-2,113,119,116,0,1,6.9,météo très défavorable
2009-01-29,4,0,21,0,3,2,0,81,10,1019,13.875,4,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-30,6,1,31,1,4,4,0,79,10,1020,14.75,6,0,-3,116,113,113,0,1,8.7,météo très défavorable
2009-01-31,5,1,36,2,4,2,0,70,10,1015,24.75,5,0,-5,116,116,113,0,1,8.7,météo très défavorable
2009-02-01,1,-0,42,0,1,0,0.3,78,7.5,1014,53,1,0,-7,113,119,122,0,1,5.2,météo très défavorable
2009-02-02,3,-1,38,0,1,3,2.6,91,7.875,1004,94,3,3,-6,122,122,122,0,1,3.4,météo très défavorable
2009-02-03,3,1,21,2,3,1,0,79,10,1001,19.25,3,2,-3,113,113,113,0,1,8.7,météo très défavorable
2009-02-04,2,-1,16,-1,2,1,0,72,10,1000,36.25,2,0,-5,113,116,116,0,1,7,météo très défavorable
2009-02-05,7,2,26,4,6,7,3.7,94,9.5,992,79.125,7,5,2,122,122,119,0,1,3.5,météo très défavorable
2009-02-06,8,5,22,5,8,6,2.6,92,9.75,992,58.375,8,6,2,200,116,116,0,1,7,météo très défavorable
2009-02-07,4,3,27,4,3,3,0.3,81,9,999,67.5,4,3,-2,122,116,119,0,1,8.7,météo très défavorable
2009-02-08,5,3,18,3,4,4,1.1,75,9.875,1005,75.875,5,2,-1,119,116,122,0,1,5.3,météo très défavorable
2009-02-09,8,4,31,4,6,4,10.4,89,9.375,1003,80.125,9,8,-0,113,122,122,0,1,3.5,météo très défavorable
2009-02-10,9,4,63,5,4,5,5.2,87,9.25,1012,89.25,9,7,-3,122,119,122,0,1,4.9,météo très défavorable
2009-02-11,6,3,22,3,6,5,1.2,85,9.875,1017,47.25,6,4,-0,113,116,122,0,1,9.9,météo très défavorable
2009-02-12,4,3,27,3,4,4,0.7,84,8.25,1025,66.625,4,1,-2,119,119,119,0.1,1,5,météo très défavorable
2009-02-13,5,3,28,3,5,5,0.6,90,9,1025,98.875,5,2,-0,122,122,122,0,1,5,météo très défavorable
2009-02-14,5,2,12,4,5,3,0.1,73,10,1030,65.125,5,1,1,122,119,113,0,1,8.3,météo très défavorable
2009-02-15,7,3,27,3,6,6,0.2,85,9,1031,82.5,7,5,0,122,122,122,0,1,8.3,météo très défavorable
2009-02-16,8,6,18,6,7,8,0.1,93,10,1025,94.125,8,7,3,122,119,122,0,1,5,météo très défavorable
2009-02-17,8,7,26,7,7,8,0.7,92,8,1026,95.5,8,7,3,122,122,122,0,1,5.1,météo très défavorable
2009-02-18,6,3,15,5,5,4,0.1,86,10,1027,41.5,7,6,2,116,116,113,0,1,10.6,météo très défavorable
2009-02-19,7,2,13,2,6,6,0,81,10,1028,31.75,7,5,2,113,116,116,0,1,10,météo très défavorable
2009-02-20,7,6,13,6,7,6,0,88,10,1032,50,7,5,5,122,113,116,0,1,10.6,météo très défavorable
2009-02-21,8,6,13,6,7,7,0,88,10,1033,58,8,5,4,122,116,113,0,1,10.7,météo très défavorable
2009-02-22,8,6,25,6,8,8,0.1,90,10,1029,71.625,8,6,2,116,116,122,0,1,5.3,météo très défavorable
2009-02-23,8,6,16,6,7,7,0.4,91,9.375,1025,76.375,8,6,3,116,119,122,0,1,5.4,météo très défavorable
2009-02-24,8,5,8,6,7,5,0,88,8,1029,37.75,8,6,6,143,116,113,0,1,10.8,météo très défavorable
2009-02-25,8,4,20,5,7,7,0.1,91,10,1030,54.25,8,6,3,116,119,116,0,1,7,météo très défavorable
2009-02-26,8,7,26,7,8,8,0.1,85,10,1027,43,8,5,4,113,119,116,0,1,8.5,météo très défavorable
2009-02-27,9,6,23,6,8,8,0.2,93,9,1022,71.625,9,7,4,122,116,122,0,1,8.5,météo défavorable
2009-02-28,8,6,9,6,8,7,0,88,10,1019,24.125,9,6,5,113,113,113,0,1,10.9,météo très défavorable
2009-03-01,8,6,13,6,8,7,2.5,95,7.875,1010,85,8,7,4,119,122,143,0,1,5.5,météo très défavorable
2009-03-02,8,5,18,5,8,7,0,87,10,1017,19.625,8,6,2,113,113,113,0,1,11,météo très défavorable
