#### EXPORT DONNEES METEO POUR "LAON" (LAT/LON: 49.564133/3.61989)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-5,11,-4,0,-5,0,74,10,1029,10,0,0,-5,113,113,113,0,1,8.1,météo très défavorable
2009-01-02,-0,-6,14,-6,-0,-1,0,77,10,1028,22.625,0,0,-8,113,116,116,0,1,8.2,météo très défavorable
2009-01-03,-0,-5,14,-4,-0,-4,0,90,9,1029,21.75,0,0,-9,143,113,113,0,1,8.2,météo très défavorable
2009-01-04,-1,-6,13,-6,-1,-3,0,76,10,1027,45.25,0,0,-7,113,113,119,0,1,6.9,météo très défavorable
2009-01-05,-1,-2,18,-2,-1,-2,2.4,94,6.375,1022,99.875,0,0,-6,122,122,122,2,1,3.2,météo très défavorable
2009-01-06,-3,-9,21,-7,-5,-8,0,87,10,1025,20.75,0,0,-15,113,113,113,0,1,8.6,météo très défavorable
2009-01-07,-3,-11,9,-11,-3,-4,0.1,92,7.75,1026,34.375,0,0,-11,113,113,143,0,1,6.9,météo très défavorable
2009-01-08,-1,-7,14,-6,-1,-6,0,92,7.75,1029,20.875,0,0,-10,143,113,113,0,1,8.7,météo très défavorable
2009-01-09,-5,-9,11,-9,-5,-9,0,87,10,1030,3,0,0,-13,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,-4,-10,11,-10,-4,-6,0,86,10,1030,0.125,0,0,-11,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,1,-8,21,-5,1,-1,0,74,10,1031,10.25,1,0,-10,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,3,-2,29,-2,2,3,0.2,84,9.375,1028,35.5,3,1,-8,113,122,116,0,1,6.9,météo très défavorable
2009-01-13,3,2,21,3,3,2,4.1,94,8.625,1016,100,3,3,-2,122,122,122,0,1,3.3,météo très défavorable
2009-01-14,5,3,12,3,5,3,0.1,96,4.5,1018,81.5,5,4,-0,122,116,143,0,1,5.1,météo très défavorable
2009-01-15,4,0,19,0,4,1,0,92,10,1019,21.75,4,2,-4,116,113,116,0,1,8.7,météo très défavorable
2009-01-16,4,-1,23,-1,3,3,0.1,86,10,1019,68.625,4,2,-5,122,116,116,0,1,6.9,météo très défavorable
2009-01-17,7,3,30,4,6,6,0.7,94,8.375,1019,76.75,7,6,-1,116,122,119,0,1,5.1,météo très défavorable
2009-01-18,8,3,30,6,5,4,6.1,99,8.5,1008,77,8,7,0,122,122,113,0,1,5.1,météo très défavorable
2009-01-19,8,3,48,4,8,5,5,94,8.5,1005,85.75,8,7,2,122,119,119,0,1,3.3,météo très défavorable
2009-01-20,5,1,18,1,5,3,0,93,10,999,48.875,5,3,-3,116,116,122,0,1,6.9,météo très défavorable
2009-01-21,4,0,15,1,4,1,0,93,7,1009,46.125,4,2,-2,143,113,116,0,1,6.9,météo très défavorable
2009-01-22,6,2,45,3,3,6,2.3,96,7.875,1006,86.25,6,5,-3,122,122,122,0,1,3.4,météo très défavorable
2009-01-23,9,4,42,8,6,5,8.9,92,8.25,987,82.875,9,8,-1,122,122,119,0,1,3.4,météo très défavorable
2009-01-24,5,1,12,1,5,2,0,91,7.75,999,62.125,5,2,-1,248,119,116,0,1,3.4,météo très défavorable
2009-01-25,4,0,32,1,4,3,0,92,9,999,63,4,1,-5,119,116,122,0,1,5.2,météo très défavorable
2009-01-26,4,2,6,2,4,3,0.1,94,8,1007,88.375,5,3,1,143,119,119,0,1,3.4,météo très défavorable
2009-01-27,4,-1,10,2,3,-1,0.1,89,10,1017,32.25,5,2,-0,116,113,113,0,1,8.7,météo très défavorable
2009-01-28,3,-2,13,-2,3,-1,0,84,10,1018,31.125,3,0,-4,113,116,116,0,1,8.7,météo très défavorable
2009-01-29,3,-3,14,-3,3,-1,0,81,9,1020,24.75,3,0,-6,143,113,113,0,1,8.7,météo très défavorable
2009-01-30,4,-2,26,-2,4,1,0,77,10,1021,15.5,4,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,3,-2,28,-2,3,-1,0,63,10,1016,20.25,3,0,-7,116,113,113,0,1,8.7,météo très défavorable
2009-02-01,1,-3,31,-3,1,-2,0.1,75,9.375,1013,47.75,1,0,-9,113,116,122,0.1,1,7,météo très défavorable
2009-02-02,3,-1,30,-1,1,2,2.5,93,7.375,1002,95.875,3,2,-5,122,122,122,1.9,1,3.5,météo très défavorable
2009-02-03,1,-5,12,-2,0,-4,0.1,92,8.375,1002,52.5,2,1,-6,143,116,113,0.1,1,7,météo très défavorable
2009-02-04,2,-5,12,-4,1,0,0,79,10,1001,54.75,2,0,-4,113,122,119,0,1,3.5,météo très défavorable
2009-02-05,6,2,23,4,5,4,2,96,7.25,993,76.75,6,5,1,122,122,143,0,1,3.5,météo très défavorable
2009-02-06,9,3,18,4,8,4,1.3,95,7.375,993,60.375,9,6,1,200,200,248,0,1,5.3,météo très défavorable
2009-02-07,4,-0,23,2,3,1,0.7,97,8.125,999,71.625,4,2,-2,122,122,113,0.3,1,5.3,météo très défavorable
2009-02-08,4,-1,16,1,4,2,0.2,86,8.75,1006,62.625,4,1,-2,116,119,116,0,1,5.3,météo très défavorable
2009-02-09,9,1,30,3,4,3,9.1,98,9.125,1006,99.375,9,8,-3,122,122,122,0,1,3.6,météo très défavorable
2009-02-10,9,3,58,6,3,3,4.9,90,8.75,1011,97.25,9,8,-4,122,122,122,0.2,1,3.6,météo très défavorable
2009-02-11,6,-1,14,-1,6,2,0.9,87,8.875,1017,41.625,6,2,-2,143,113,119,0,1,8.7,météo très défavorable
2009-02-12,4,-0,21,-0,4,1,0.1,90,7.625,1024,64.5,4,1,-3,143,116,119,0.1,1,5,météo très défavorable
2009-02-13,2,-0,17,-0,1,1,0.8,92,8,1023,85.5,2,1,-4,122,122,122,0.6,1,5.2,météo très défavorable
2009-02-14,2,-3,13,-2,2,-3,0,90,8,1031,24.25,3,0,-4,143,113,113,0,1,10.5,météo très défavorable
2009-02-15,4,-3,13,-2,4,1,0,70,10,1031,51.375,4,0,-2,116,116,116,0,1,10,météo très défavorable
2009-02-16,7,3,12,4,7,6,1.3,98,7.625,1026,95.625,7,6,1,122,119,122,0,1,5.3,météo très défavorable
2009-02-17,7,5,23,5,7,7,0.2,94,10,1024,96,7,6,2,122,122,122,0,1,5.3,météo très défavorable
2009-02-18,5,-1,8,1,4,0,0,81,10,1026,47,5,4,-1,119,113,113,0,1,10.6,météo très défavorable
2009-02-19,6,-2,8,-2,5,1,0,62,10,1029,28.125,7,0,-0,113,113,116,0,1,10.6,météo très défavorable
2009-02-20,8,1,14,1,8,4,0,91,6.5,1032,65.875,8,4,2,248,119,116,0,1,6.9,météo très défavorable
2009-02-21,8,1,6,3,7,4,0,89,8,1033,62.625,8,4,5,143,119,116,0,1,6.9,météo très défavorable
2009-02-22,7,3,21,4,7,7,0,89,10,1030,74.75,7,6,2,122,119,119,0,1,6.9,météo très défavorable
2009-02-23,7,6,15,6,7,6,0.1,92,9,1025,98,7,5,3,122,119,122,0,1,5.4,météo très défavorable
2009-02-24,8,0,13,4,7,1,0,84,8,1029,41.625,8,5,2,143,113,113,0,1,10.1,météo très défavorable
2009-02-25,9,-0,9,-0,8,4,0,74,10,1030,10.375,9,3,3,113,113,116,0,1,10.8,météo très défavorable
2009-02-26,9,2,19,3,9,6,0,87,7.75,1028,59,9,5,3,248,122,113,0,1,8.5,météo très défavorable
2009-02-27,9,3,17,3,8,7,0,91,9,1023,59.375,9,6,2,119,122,116,0,1,5.5,météo très défavorable
2009-02-28,11,2,8,2,10,7,0,82,7,1021,35.5,12,6,5,143,113,116,0,1,11,météo très défavorable
2009-03-01,11,4,13,4,11,9,1.2,93,5.875,1010,81.125,11,9,5,143,122,122,0,2,5.5,météo très défavorable
2009-03-02,10,3,14,6,10,5,0,83,9,1018,38.5,10,6,5,119,113,113,0,2,11,météo très défavorable
2009-03-03,10,1,23,1,10,6,0,83,6.75,1019,50.125,10,4,2,248,116,116,0,2,8.6,météo très défavorable
2009-03-04,6,1,28,3,3,2,0,100,7.75,997,87.5,6,4,-2,122,122,248,0,1,5.6,météo très défavorable
