#### EXPORT DONNEES METEO POUR "NANTES" (LAT/LON: 47.218371/-1.553621)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,5,0,23,1,5,2,0,73,10,1025,45.875,5,0,-4,116,116,116,0,1,6.9,météo très défavorable
2009-01-02,4,-2,23,-1,3,-2,0,85,10,1024,18.25,4,0,-6,116,113,113,0,1,8.7,météo très défavorable
2009-01-03,3,-3,27,-2,2,-1,0,87,10,1024,2.25,3,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,3,-4,13,-4,2,-4,0,71,10,1025,21,3,0,-8,113,116,119,0,1,8.7,météo très défavorable
2009-01-05,3,-5,13,-5,2,2,0.7,94,9,1022,64.875,3,2,-5,116,122,119,0,1,3.3,météo très défavorable
2009-01-06,-0,-6,25,-1,0,-4,0.1,82,9.375,1022,63.375,0,0,-7,122,119,113,0.1,1,5.1,météo très défavorable
2009-01-07,1,-7,20,-7,-0,-3,0,57,10,1026,12.25,1,0,-12,113,113,116,0,1,8.7,météo très défavorable
2009-01-08,4,-4,27,-0,4,-3,0.1,95,9.625,1027,29,4,0,-4,116,113,113,0.1,1,6.9,météo très défavorable
2009-01-09,3,-5,14,-5,2,-2,0,76,10,1027,5.125,4,0,-9,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,6,-3,15,-3,5,-1,0,71,10,1029,2.5,7,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,9,-3,21,-1,9,5,0,81,10,1031,7.75,9,6,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,10,5,32,5,9,8,1.2,85,9.875,1028,31.625,10,6,2,113,116,116,0,1,8.7,météo très défavorable
2009-01-13,11,6,22,7,10,7,5.2,95,9.375,1017,59.5,11,9,5,122,116,113,0,1,6.9,météo défavorable
2009-01-14,9,4,7,6,7,6,0.2,96,6.875,1018,45.5,9,7,6,143,143,113,0,1,5.1,météo très défavorable
2009-01-15,7,3,21,4,7,4,0,92,10,1015,39.875,7,4,-0,116,113,113,0,1,8.7,météo très défavorable
2009-01-16,11,4,19,6,11,7,0.1,95,8.75,1019,46,11,7,6,248,113,113,0,1,8.7,météo très défavorable
2009-01-17,12,8,21,9,12,10,0.6,91,9.875,1019,49.625,12,9,8,122,113,116,0,1,6.9,météo défavorable
2009-01-18,11,8,33,10,9,8,7,86,9.5,1010,79.75,11,10,4,122,116,122,0,1,6.9,météo défavorable
2009-01-19,11,5,41,11,9,6,6.6,87,9.625,1002,73.125,11,9,3,122,119,116,0,1,5.2,météo très défavorable
2009-01-20,7,3,21,4,7,3,0.4,88,9.25,999,47.75,7,3,2,116,116,116,0,1,8.7,météo très défavorable
2009-01-21,8,1,15,1,8,6,0.5,88,9,1010,43.875,8,5,1,113,113,116,0,1,8.7,météo très défavorable
2009-01-22,12,9,33,10,11,9,5.7,93,8.5,1003,94.625,12,11,9,122,116,122,0,1,5.2,météo défavorable
2009-01-23,12,6,40,12,10,7,4,86,9.625,995,62.125,12,11,6,122,116,113,0,1,6.9,météo défavorable
2009-01-24,8,3,52,4,6,5,8.3,94,9.125,1003,67.25,8,5,-5,122,116,113,0,1,6.9,météo très défavorable
2009-01-25,9,4,32,8,8,5,7.2,94,8.5,998,77,9,7,3,119,122,116,0,1,3.4,météo très défavorable
2009-01-26,9,3,22,4,9,6,1,88,10,1007,52.375,10,6,5,113,116,119,0,1,7,météo très défavorable
2009-01-27,9,1,7,1,8,4,0.1,95,6.75,1016,51.375,10,6,5,248,113,113,0,1,9.6,météo très défavorable
2009-01-28,6,5,22,6,6,6,2.5,94,7.875,1016,94.375,6,5,2,122,122,122,0,1,4.8,météo très défavorable
2009-01-29,9,3,19,4,7,5,0.1,85,10,1015,31.75,9,5,-1,113,113,113,0,1,9.7,météo très défavorable
2009-01-30,10,4,22,4,8,6,0,72,10,1015,46.25,10,3,-0,116,116,116,0,1,9.7,météo très défavorable
