#### EXPORT DONNEES METEO POUR "NICE (ALPES-MARITIMES)" (LAT/LON: 43.7101728/7.2619532)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,8,5,11,7,8,5,0.1,84,10,1025,21.75,8,5,5,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,8,4,14,4,8,4,0,72,10,1021,12.375,8,3,3,113,113,113,0,3,8.7,météo très défavorable
2009-01-03,6,2,23,2,6,3,0,73,10,1019,5.875,6,1,-1,113,113,113,0,2,8.7,météo très défavorable
2009-01-04,7,2,10,2,7,4,0,68,10,1018,2.75,10,3,2,113,113,113,0,2,8.7,météo très défavorable
2009-01-05,5,2,8,2,5,3,0,82,10,1015,24.25,6,3,4,113,113,116,0,2,8.7,météo très défavorable
2009-01-06,4,1,23,3,4,2,2.4,87,9.25,1013,55.5,4,1,-3,116,116,119,0,2,5.2,météo très défavorable
2009-01-07,3,1,40,3,3,3,7,88,8.75,1013,53.125,3,1,-6,119,116,113,3.7,1,6.9,météo très défavorable
2009-01-08,6,1,20,1,6,5,0.4,80,9.375,1024,39.375,7,2,0,113,116,119,0,2,6.9,météo très défavorable
2009-01-09,7,3,30,5,7,6,0.1,73,10,1026,28,7,2,-1,116,113,116,0,2,8.7,météo très défavorable
2009-01-10,8,4,17,4,8,5,0,70,10,1026,14.625,9,4,2,113,113,113,0,3,8.7,météo très défavorable
2009-01-11,10,5,14,6,10,6,0,72,10,1029,7.375,11,6,5,113,113,113,0,3,8.7,météo très défavorable
2009-01-12,10,5,17,5,10,6,0,69,10,1029,4,10,5,4,113,113,113,0,3,8.7,météo très défavorable
2009-01-13,9,5,21,5,9,6,0,67,10,1024,2.875,9,3,2,113,113,113,0,3,8.7,météo très défavorable
2009-01-14,9,5,7,5,9,5,0,74,10,1012,9.25,9,5,7,113,116,113,0,3,8.7,météo très défavorable
2009-01-15,8,4,21,4,8,5,0.1,70,10,1021,15.125,8,3,2,116,113,113,0,3,8.7,météo très défavorable
2009-01-16,9,4,13,4,9,5,0,75,10,1025,14.75,9,5,4,113,113,116,0,3,8.7,météo très défavorable
2009-01-17,9,4,20,5,9,7,0,84,10,1025,28,9,6,4,113,116,113,0,3,7,météo très défavorable
2009-01-18,8,5,28,5,8,7,0.1,86,10,1023,25.75,8,5,4,113,116,113,0,3,8.7,météo très défavorable
2009-01-19,9,7,19,8,9,9,4.2,93,9.5,1014,66.125,9,8,6,116,119,122,0,3,5.3,météo défavorable
2009-01-20,10,7,16,9,9,7,1.4,90,10,1000,33.75,10,9,7,116,113,113,0,2,8.7,météo défavorable
2009-01-21,9,5,15,5,9,6,0,64,10,1007,23,10,2,3,116,113,113,0,3,8.7,météo très défavorable
2009-01-22,8,3,9,5,8,4,0.1,66,10,1007,9.875,9,1,5,113,113,113,0,3,8.7,météo très défavorable
2009-01-23,9,5,29,5,7,9,2.6,90,8.875,1003,52,9,7,2,116,122,113,0,3,3.7,météo très défavorable
2009-01-24,7,4,18,6,7,5,2.2,83,8.875,992,41.875,7,4,2,116,116,116,0,3,7,météo très défavorable
2009-01-25,9,5,9,6,9,6,0,71,10,998,20.25,10,4,7,116,113,113,0,3,8.7,météo très défavorable
2009-01-26,6,4,40,6,5,5,10.3,91,9.25,998,68.875,6,4,-1,122,119,119,0,3,3.7,météo très défavorable
2009-01-27,9,4,12,5,9,6,0.1,70,10,1006,19.75,9,3,4,113,113,113,0,3,8.7,météo très défavorable
2009-01-28,9,4,8,4,9,4,0,62,10,1010,5.375,11,3,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-29,10,5,15,6,10,7,0,65,10,1014,6,10,3,6,113,113,113,0,3,8.7,météo très défavorable
2009-01-30,9,6,9,6,9,6,0,66,10,1018,6.125,10,3,7,113,113,113,0,3,8.7,météo défavorable
2009-01-31,7,5,18,5,7,6,0.1,82,10,1015,36.375,7,4,4,113,116,119,0,3,8.7,météo très défavorable
2009-02-01,6,3,30,5,6,5,1,74,8.75,1007,71,6,3,0,119,116,119,0,2,5.4,météo très défavorable
2009-02-02,5,3,44,3,5,5,7,86,9.5,1004,60.125,5,3,-3,119,116,119,0,2,7,météo très défavorable
2009-02-03,9,5,21,6,9,8,0,74,10,1002,50.5,9,5,4,119,116,116,0,3,7,météo très défavorable
2009-02-04,9,7,21,7,9,8,1,84,9.75,1002,54.875,9,8,5,119,116,122,0,3,7.1,météo défavorable
2009-02-05,10,8,12,8,9,10,5,91,9.5,1004,38.75,10,8,7,113,116,116,0,3,7.1,météo défavorable
2009-02-06,9,8,21,9,9,9,15.2,91,8.5,1000,66.25,10,8,6,200,200,116,0,2,5.4,météo défavorable
2009-02-07,7,5,9,6,7,7,1.2,84,9.125,991,38.375,8,5,6,116,116,116,0,3,7.1,météo très défavorable
2009-02-08,9,5,8,5,8,7,0.5,66,9.375,1003,23.875,9,3,6,116,113,113,0,3,8.7,météo très défavorable
2009-02-09,10,5,14,5,10,8,0,68,10,1011,10.125,11,4,7,113,113,113,0,3,8.7,météo très défavorable
2009-02-10,11,6,35,8,11,8,0,71,10,1011,12.625,12,7,6,113,113,113,0,3,8.7,météo défavorable
2009-02-11,8,3,25,5,8,6,0,51,10,1011,6.25,9,0,1,113,113,113,0,3,8.7,météo très défavorable
2009-02-12,7,2,13,2,7,4,0.1,50,10,1013,23.875,7,0,1,113,116,116,0,2,8.7,météo très défavorable
2009-02-13,5,1,15,1,5,1,0,45,10,1016,1.5,7,0,-1,113,113,113,0,2,8.7,météo très défavorable
2009-02-14,6,1,11,1,6,2,0,49,10,1020,6.75,6,0,2,113,113,113,0,2,10.7,météo très défavorable
2009-02-15,6,1,10,1,6,2,0,44,10,1024,17.125,7,0,2,113,113,116,0,2,10.7,météo très défavorable
2009-02-16,7,2,21,4,7,4,0,69,10,1024,31.625,7,1,2,116,113,116,0,2,10.7,météo très défavorable
2009-02-17,8,3,23,4,7,5,0,68,10,1022,8,8,3,2,113,113,113,0,3,10.8,météo très défavorable
2009-02-18,7,4,23,5,7,4,0.3,73,9.875,1018,15.875,7,3,3,113,113,116,0,3,10.8,météo très défavorable
2009-02-19,5,3,10,4,5,4,0.1,75,10,1023,40.625,6,1,3,116,119,113,0,2,8.5,météo très défavorable
2009-02-20,9,2,21,2,8,8,0,70,10,1027,10,9,4,4,113,113,113,0,3,10.9,météo très défavorable
2009-02-21,9,5,16,5,9,6,0,68,10,1025,18.875,10,3,5,116,113,113,0,3,10.9,météo très défavorable
2009-02-22,10,6,13,6,10,7,0.1,77,10,1024,29.625,10,5,6,113,116,116,0,3,10.9,météo défavorable
2009-02-23,10,6,11,6,10,8,0,67,10,1016,14.625,11,5,8,113,113,113,0,3,10.9,météo défavorable
2009-02-24,11,6,11,6,11,6,0,61,10,1019,12,11,4,7,113,113,113,0,3,11,météo défavorable
2009-02-25,8,4,15,4,8,5,0.1,67,10,1028,11.125,9,3,4,113,113,113,0,3,11,météo très défavorable
2009-02-26,10,4,11,4,8,7,0,62,10,1027,26.625,10,3,8,116,113,116,0,3,11,météo très défavorable
2009-02-27,11,6,13,6,11,8,0,71,10,1017,5.75,12,7,8,113,113,113,0,3,11.1,météo défavorable
2009-02-28,10,5,13,5,10,9,0,78,10,1019,8.25,12,7,8,113,113,113,0,3,11.1,météo très défavorable
2009-03-01,9,8,14,9,9,8,4,90,8.5,1016,63.375,9,7,7,119,119,119,0,3,5.6,météo défavorable
2009-03-02,11,8,12,8,10,9,0.1,78,10,1015,44.125,11,7,9,116,116,113,0,2,11.2,météo défavorable
2009-03-03,9,7,11,7,9,8,0.1,84,10,1016,10.875,10,6,8,113,113,113,0,3,11.2,météo défavorable
2009-03-04,8,6,10,7,7,6,3.8,85,9.75,1009,52.5,8,6,4,113,119,119,0,3,8.6,météo très défavorable
2009-03-05,6,5,17,5,5,5,6.5,83,8.75,985,63.25,6,4,1,119,122,116,0,2,8.6,météo très défavorable
2009-03-06,9,5,10,5,8,7,0.8,71,9.375,997,37.125,10,4,5,116,116,113,0,3,11.6,météo très défavorable
2009-03-07,12,6,14,6,12,10,0,63,10,1008,7,13,6,7,113,113,113,0,3,11.6,météo défavorable
2009-03-08,12,7,13,7,12,10,0,64,10,1012,8.875,12,7,10,113,116,113,0,3,11.6,météo défavorable
2009-03-09,12,6,25,9,12,8,0,55,10,1018,5.5,12,4,6,113,113,113,0,3,11.6,météo défavorable
2009-03-10,11,5,22,6,10,8,0,59,10,1020,11.625,11,4,7,113,113,113,0,3,11.6,météo très défavorable
2009-03-11,13,6,10,6,13,9,0,64,10,1020,11.75,14,7,9,113,113,113,0,3,11.6,météo correcte
2009-03-12,11,6,17,6,10,8,0,59,10,1024,14.375,11,4,8,113,113,113,0,3,11.6,météo défavorable
2009-03-13,12,7,14,7,12,9,0,68,10,1021,24.75,13,7,10,113,113,116,0,3,11.6,météo défavorable
2009-03-14,12,8,9,8,12,8,0,72,10,1020,13.375,12,7,11,113,113,116,0,3,11.6,météo défavorable
2009-03-15,12,7,12,7,12,9,0,74,10,1022,6.125,14,9,11,113,113,113,0,3,11.6,météo défavorable
2009-03-16,13,9,21,10,13,10,0.1,65,10,1027,6.375,13,7,9,113,113,113,0,4,11.6,météo correcte
2009-03-17,13,8,12,8,13,10,0,69,10,1028,4.25,15,8,12,113,113,113,0,4,11.6,météo correcte
2009-03-18,16,9,10,9,16,12,0,66,10,1025,13.5,16,9,15,113,113,113,0,4,11.6,météo correcte
2009-03-19,12,9,10,9,12,9,1.1,84,9.625,1019,17.75,13,9,12,113,113,113,0,4,11.6,météo défavorable
2009-03-20,9,4,31,7,6,5,0.5,81,10,1022,20,9,5,1,113,116,113,0,3,11.6,météo très défavorable
2009-03-21,7,3,10,3,7,4,0,56,10,1022,12.375,8,1,5,113,116,113,0,2,11.6,météo très défavorable
2009-03-22,12,3,16,5,12,9,0,48,10,1022,0.875,12,4,8,113,113,113,0,3,11.6,météo très défavorable
2009-03-23,13,8,24,8,13,10,0,60,10,1019,6.5,13,6,11,113,113,113,0,4,11.6,météo correcte
2009-03-24,12,6,36,11,11,7,0,54,10,1008,7.875,12,4,7,113,113,113,0,3,11.6,météo défavorable
2009-03-25,11,5,17,5,11,10,0,53,10,1010,23.5,11,2,9,116,116,113,0,3,11.6,météo très défavorable
2009-03-26,13,7,15,7,13,9,0,59,10,1012,5.375,14,5,11,113,113,113,0,3,11.6,météo correcte
2009-03-27,15,9,32,10,15,12,0,56,10,1011,4.375,15,6,12,113,113,113,0,4,11.6,météo correcte
2009-03-28,10,8,17,9,10,10,2.4,86,8.625,1009,41.375,10,8,8,116,116,116,0,3,8.9,météo défavorable
2009-03-29,10,9,30,9,9,9,12.8,85,9,1003,81.75,10,8,5,122,119,116,0,2,7.5,météo défavorable
2009-03-30,11,8,23,9,10,10,0.2,87,10,1013,41.625,11,8,7,116,113,116,0,2,11.6,météo défavorable
2009-03-31,15,9,27,11,15,12,4.3,81,9.125,1015,29.875,15,9,10,113,113,116,0,4,11.6,météo correcte
2009-04-01,11,9,23,9,11,10,22.5,85,8,1011,80.375,11,8,6,122,119,119,0,2,6.2,météo très défavorable
2009-04-02,11,9,23,9,10,9,3.6,85,9.5,1016,51.875,11,8,8,122,200,113,0,2,10.3,météo défavorable
2009-04-03,12,8,22,9,12,9,0.2,74,10,1020,26,12,8,9,116,116,113,0,4,11.6,météo défavorable
2009-04-04,15,9,15,10,15,12,0.2,66,9.875,1019,8.75,15,10,13,113,113,113,0,4,11.6,météo correcte
2009-04-05,14,11,6,11,12,12,1.5,84,9.125,1020,47.5,14,10,13,116,200,200,0,4,9,météo correcte
2009-04-06,14,10,14,12,14,12,3.9,84,9.75,1019,23.25,15,11,13,116,113,113,0,3,11.6,météo correcte
2009-04-07,13,9,9,10,13,10,0.1,73,10,1015,13.25,14,10,13,113,113,113,0,4,11.6,météo correcte
2009-04-08,13,10,24,10,13,11,0,75,10,1017,19.25,13,9,10,113,116,113,0,4,13.1,météo correcte
2009-04-09,15,11,22,12,15,12,0.2,70,9.375,1018,38.25,15,9,12,116,116,116,0,4,13.5,météo correcte
