#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-4,9,-2,2,-4,0,92,6.75,1029,20.75,3,0,-5,143,113,116,0,1,8.6,météo très défavorable
2009-01-02,1,-5,17,-5,1,-2,0,87,10,1028,7.125,3,0,-8,113,113,113,0,1,8.6,météo très défavorable
2009-01-03,1,-4,17,-3,1,-3,0,92,10,1027,25.25,1,0,-8,116,113,113,0,1,8.6,météo très défavorable
2009-01-04,-1,-6,5,-6,-1,-4,0,70,10,1027,33.875,0,0,-5,113,116,113,0,1,6.9,météo très défavorable
2009-01-05,-1,-4,12,-3,-1,-2,1.9,95,8,1020,89.125,0,0,-6,122,122,143,1.6,1,3.2,météo très défavorable
2009-01-06,-3,-7,22,-4,-5,-7,0,90,10,1023,59.625,0,0,-15,119,119,116,0,1,5.1,météo très défavorable
2009-01-07,-3,-11,13,-11,-3,-4,0,92,9,1026,18,0,0,-14,113,113,119,0,1,8.7,météo très défavorable
2009-01-08,-0,-6,18,-4,-0,-5,0,93,7.75,1028,20.25,1,0,-10,143,113,113,0,1,8.7,météo très défavorable
2009-01-09,-4,-10,7,-10,-4,-8,0,90,7,1029,2.875,1,0,-6,143,113,113,0,1,8.7,météo très défavorable
2009-01-10,-2,-9,8,-9,-2,-6,0,83,10,1030,0.5,3,0,-5,113,113,113,0,1,8.7,météo très défavorable
