#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-2,5,-0,2,-1,0,94,3.75,1029,75.25,2,1,0,260,122,143,0,1,3.1,météo très défavorable
2009-01-02,-0,-5,14,-5,-0,-3,0,79,10,1027,19,0,0,-6,113,113,113,0,1,8.2,météo très défavorable
2009-01-03,-1,-7,13,-5,-1,-6,0,79,10,1028,6.625,0,0,-8,113,113,113,0,1,8.3,météo très défavorable
2009-01-04,-2,-8,6,-8,-2,-5,0,67,10,1026,36.5,0,0,-7,116,116,116,0,1,8.3,météo très défavorable
2009-01-05,-2,-7,7,-7,-2,-4,0.1,71,9.375,1020,75.5,0,0,-7,119,122,122,0.1,1,3.1,météo très défavorable
2009-01-06,-4,-5,19,-5,-4,-5,0.1,89,9.375,1020,81.375,0,0,-11,122,119,119,0.1,1,3.1,météo très défavorable
2009-01-07,-5,-10,12,-10,-5,-9,0,88,6.5,1025,20.5,0,0,-12,260,113,113,0,1,8.3,météo très défavorable
2009-01-08,-3,-9,18,-8,-3,-9,0,84,9,1029,1.25,0,0,-13,113,113,143,0,1,8.3,météo très défavorable
2009-01-09,-5,-12,5,-12,-5,-9,0,76,10,1031,2,0,0,-7,113,113,113,0,1,8.3,météo très défavorable
2009-01-10,-2,-11,4,-11,-2,-9,0,86,10,1032,0.5,2,0,-3,113,113,113,0,1,8.4,météo très défavorable
2009-01-11,-2,-10,9,-7,-2,-7,0,69,10,1035,0,2,0,-6,113,113,113,0,1,8.4,météo très défavorable
2009-01-12,1,-7,13,-6,1,-3,0,56,10,1033,5.375,2,0,-6,113,113,116,0,1,8.4,météo très défavorable
2009-01-13,4,-2,11,-2,4,-2,0,70,10,1023,25.375,5,0,-2,116,113,113,0,1,8.4,météo très défavorable
2009-01-14,1,-4,7,-3,0,-0,0.7,96,7,1020,56.125,1,0,-4,113,122,143,0,1,3.3,météo très défavorable
