sepal_length,sepal_width,petal_length,petal_width,species,,,
5.100000000000000000000000000000,3.5,1.4,0.2,setosa,,,
4.900000000000000000000000000000,3,1.4,0.2,setosa,,,
4.700000000000000000000000000000,3.2,1.3,0.2,setosa,,,
4.600000000000000000000000000000,3.1,1.5,0.2,setosa,,,
5.000000000000000000000000000000,3.6,1.4,0.2,setosa,,,
5.400000000000000000000000000000,3.9,1.7,0.4,setosa,,,
4.600000000000000000000000000000,3.4,1.4,0.3,setosa,,,
5.000000000000000000000000000000,3.4,1.5,0.2,setosa,,,
4.400000000000000000000000000000,2.9,1.4,0.2,setosa,,,
4.900000000000000000000000000000,3.1,1.5,0.1,setosa,,,
5.400000000000000000000000000000,3.7,1.5,0.2,setosa,,,
4.800000000000000000000000000000,3.4,1.6,0.2,setosa,,,
4.800000000000000000000000000000,3,1.4,0.1,setosa,,,
4.300000000000000000000000000000,3,1.1,0.1,setosa,,,
5.800000000000000000000000000000,4,1.2,0.2,setosa,,,
5.700000000000000000000000000000,4.4,1.5,0.4,setosa,,,
5.400000000000000000000000000000,3.9,1.3,0.4,setosa,,,
5.100000000000000000000000000000,3.5,1.4,0.3,setosa,,,
5.700000000000000000000000000000,3.8,1.7,0.3,setosa,,,
5.100000000000000000000000000000,3.8,1.5,0.3,setosa,,,
5.400000000000000000000000000000,3.4,1.7,0.2,setosa,,,
5.100000000000000000000000000000,3.7,1.5,0.4,setosa,,,
4.600000000000000000000000000000,3.6,1,0.2,setosa,,,
5.100000000000000000000000000000,3.3,1.7,0.5,setosa,,,
4.800000000000000000000000000000,3.4,1.9,0.2,setosa,,,
5.000000000000000000000000000000,3,1.6,0.2,setosa,,,
5.000000000000000000000000000000,3.4,1.6,0.4,setosa,,,
5.200000000000000000000000000000,3.5,1.5,0.2,setosa,,,
5.200000000000000000000000000000,3.4,1.4,0.2,setosa,,,
4.700000000000000000000000000000,3.2,1.6,0.2,setosa,,,
4.800000000000000000000000000000,3.1,1.6,0.2,setosa,,,
5.400000000000000000000000000000,3.4,1.5,0.4,setosa,,,
5.200000000000000000000000000000,4.1,1.5,0.1,setosa,,,
5.500000000000000000000000000000,4.2,1.4,0.2,setosa,,,
4.900000000000000000000000000000,3.1,1.5,0.1,setosa,,,
5.000000000000000000000000000000,3.2,1.2,0.2,setosa,,,
5.500000000000000000000000000000,3.5,1.3,0.2,setosa,,,
4.900000000000000000000000000000,3.1,1.5,0.1,setosa,,,
4.400000000000000000000000000000,3,1.3,0.2,setosa,,,
5.100000000000000000000000000000,3.4,1.5,0.2,setosa,,,
5.000000000000000000000000000000,3.5,1.3,0.3,setosa,,,
4.500000000000000000000000000000,2.3,1.3,0.3,setosa,,,
4.400000000000000000000000000000,3.2,1.3,0.2,setosa,,,
5.000000000000000000000000000000,3.5,1.6,0.6,setosa,,,
